"","taxon.name","variable.units","variable.element","variable.context","taxon.group","ecological.group","alias","compressed"
"1","Ilex/Nemopanthus","NISP","pollen",NA,"Vascular plants","TRSH","Ilex/Nemopanthus","Other"
"2","Indeterminable","NISP","pollen/spore",NA,"Unidentified","UNID","Indeterminable","Other"
"3","Typha latifolia","NISP","pollen",NA,"Vascular plants","AQVP","Typha latifolia","Other"
"4","Menyanthes trifoliata","NISP","pollen",NA,"Vascular plants","AQVP","Menyanthes trifoliata","Other"
"5","Sparganium-type","NISP","pollen",NA,"Vascular plants","AQVP","Sparganium-type","Other"
"6","Cyclachaena xanthiifolia","NISP","pollen",NA,"Vascular plants","UPHE","Cyclachaena xanthiifolia","Other"
"7","Isoëtes","NISP","spore",NA,"Vascular plants","AQVP",NA,"Other"
"8","Lycopodiaceae undiff.","NISP","spore",NA,"Vascular plants","VACR",NA,"Other"
"9","Nuphar","NISP","pollen",NA,"Vascular plants","AQVP",NA,"Other"
"10","Unknown","NISP","pollen/spore",NA,"Unidentified","UNID",NA,"Other"
"11","Huperzia selago","NISP","spore",NA,"Vascular plants","VACR",NA,"Other"
"12","Dryas-type","NISP","pollen",NA,"Vascular plants","UPHE",NA,"Other"
"13","Indeterminable","NISP","pollen/spore",NA,"Unidentified","UNID",NA,"Other"
"15","Pediastrum","NISP","colony",NA,"Algae","ALGA",NA,"Other"
"18","Potamogetonaceae","NISP","pollen",NA,"Vascular plants","AQVP",NA,"Other"
"22","Lycopodiaceae","NISP","spore",NA,"Vascular plants","VACR","Lycopodiaceae","Other"
"23","Unknown/Indeterminable","NISP","pollen/spore",NA,"Unidentified","UNID","Unknown/Indeterminable","Other"
"24","Myriophyllum","NISP","pollen",NA,"Vascular plants","AQVP","Myriophyllum","Other"
"25","Sagittaria","NISP","pollen",NA,"Vascular plants","AQVP","Sagittaria","Other"
"26","Saxifraga","NISP","pollen",NA,"Vascular plants","UPHE","Saxifraga","Other"
"27","Unknown","NISP","pollen/spore","anachronic","Unidentified","UNID","Unknown","Other"
"28","Isoëtes","NISP","spore",NA,"Vascular plants","AQVP","Isoëtes","Other"
"29","Pediastrum","NISP","colony",NA,"Algae","ALGA","Pediastrum","Other"
"30","Unknown (monolete)","NISP","spore",NA,"Unidentified","UNID","Unknown (monolete)","Other"
"31","cf. Callitriche","NISP","pollen",NA,"Vascular plants","AQVP","cf. Callitriche","Other"
"32","Nuphar","NISP","pollen",NA,"Vascular plants","AQVP","Nuphar","Other"
"33","Potamogetonaceae","NISP","pollen",NA,"Vascular plants","AQVP","Potamogetonaceae","Other"
"34","Typha/Sparganium undiff.","NISP","pollen",NA,"Vascular plants","AQVP","Typha/Sparganium undiff.","Other"
"35","Unknown (trilete)","NISP","spore",NA,"Unidentified","UNID","Unknown (trilete)","Other"
"36","Sambucus","NISP","pollen",NA,"Vascular plants","TRSH","Sambucus","Other"
"37","Typha angustifolia","NISP","pollen",NA,"Vascular plants","AQVP","Typha angustifolia","Other"
"38","Huperzia selago-type","NISP","spore",NA,"Vascular plants","VACR","Huperzia selago-type","Other"
"39","Unknown","NISP","pollen/spore",NA,"Unidentified","UNID","Unknown","Other"
"40","Viburnum opulus","NISP","pollen",NA,"Vascular plants","TRSH","Viburnum opulus","Other"
"41","Viburnum edule","NISP","pollen",NA,"Vascular plants","TRSH","Viburnum edule","Other"
"42","Typha undiff.","NISP","pollen",NA,"Vascular plants","AQVP","Typha undiff.","Other"
"44","Potamogetonaceae/Triglochin undiff.","NISP","pollen",NA,"Vascular plants","AQVP","Potamogetonaceae/Triglochin undiff.","Other"
"45","Lycopodiaceae undiff.","NISP","spore",NA,"Vascular plants","VACR","Lycopodiaceae undiff.","Other"
"46","Eriocaulon","NISP","pollen",NA,"Vascular plants","AQVP","Eriocaulon","Other"
"48","cf. Sarcobatus vermiculatus","NISP","pollen",NA,"Vascular plants","TRSH","cf. Sarcobatus vermiculatus","Other"
"49","Viburnum nudum","NISP","pollen",NA,"Vascular plants","TRSH","Viburnum nudum","Other"
"52","Pediastrum undiff.","NISP","palynomorph",NA,"Algae","ALGA","Pediastrum undiff.","Other"
"60","Pediastrum angulosum","NISP","palynomorph",NA,"Algae","ALGA","Pediastrum angulosum","Other"
"61","Pediastrum boryanum var. integrum","NISP","palynomorph",NA,"Algae","ALGA","Pediastrum boryanum var. integrum","Other"
"62","Pediastrum boryanum var. longicorne","NISP","palynomorph",NA,"Algae","ALGA","Pediastrum boryanum var. longicorne","Other"
"63","Pediastrum duplex","NISP","palynomorph",NA,"Algae","ALGA","Pediastrum duplex","Other"
"65","cf. Diapensia lapponica","NISP","pollen",NA,"Vascular plants","UPHE","cf. Diapensia lapponica","Other"
"66","Viburnum","NISP","pollen",NA,"Vascular plants","TRSH","Viburnum","Other"
"67","Ilex/Nemopanthus","NISP","pollen",NA,"Vascular plants","TRSH",NA,"Other"
"70","Myriophyllum","NISP","pollen",NA,"Vascular plants","AQVP",NA,"Other"
"71","Nymphaea","NISP","pollen",NA,"Vascular plants","AQVP",NA,"Other"
"72","Typha latifolia","NISP","pollen",NA,"Vascular plants","AQVP",NA,"Other"
"74","Sparganium-type","NISP","pollen",NA,"Vascular plants","AQVP",NA,"Other"
"77","Saxifragaceae undiff.","NISP","pollen",NA,"Vascular plants","UPHE",NA,"Other"
"78","Cyclachaena xanthiifolia","NISP","pollen",NA,"Vascular plants","UPHE",NA,"Other"
"87","Brasenia schreberi","NISP","pollen",NA,"Vascular plants","AQVP",NA,"Other"
"88","Sambucus","NISP","pollen",NA,"Vascular plants","TRSH",NA,"Other"
"89","Vitis","NISP","pollen",NA,"Vascular plants","TRSH",NA,"Other"
"90","Rhus","NISP","pollen",NA,"Vascular plants","TRSH",NA,"Other"
"94","Nymphaea","NISP","pollen",NA,"Vascular plants","AQVP","Nymphaea","Other"
"95","Brasenia schreberi","NISP","pollen",NA,"Vascular plants","AQVP","Brasenia schreberi","Other"
"100","Lycopodiella inundata","NISP","spore",NA,"Vascular plants","VACR","Lycopodiella inundata","Other"
"103","Huperzia lucidula","NISP","spore",NA,"Vascular plants","VACR","Huperzia lucidula","Other"
"107","Impatiens","NISP","pollen",NA,"Vascular plants","UPHE","Impatiens","Other"
"113","Drosera","NISP","pollen",NA,"Vascular plants","AQVP","Drosera","Other"
"117","Lemna","NISP","pollen",NA,"Vascular plants","AQVP","Lemna","Other"
"126","Utricularia","NISP","pollen",NA,"Vascular plants","AQVP","Utricularia","Other"
"134","Sparganium","NISP","pollen",NA,"Vascular plants","AQVP","Sparganium","Other"
