"","diss","age","lat","long","site"
"158",0.276285800396908,0,36.033333,-85.5,"Anderson Pond"
"159",0.306970954153727,25,36.033333,-85.5,"Anderson Pond"
"163",0.268008173791518,135,36.033333,-85.5,"Anderson Pond"
"747",0.268022062618219,-10,45.425,-93.183333,"Beckman Lake"
"749",0.286504875075504,28,45.425,-93.183333,"Beckman Lake"
"750",0.280919372727194,47,45.425,-93.183333,"Beckman Lake"
"751",0.291691935137283,66,45.425,-93.183333,"Beckman Lake"
"851",0.297407767229591,6848,54.047222,-76.120278,"Bereziuk"
"852",0.290733893340079,7067,54.047222,-76.120278,"Bereziuk"
"914",0.299773706978781,775,39.766667,-78.55,"Big Pond"
"1047",0.349443023846566,310,35.620833,-84.186667,"Black Pond"
"1049",0.354869165406434,356,35.620833,-84.186667,"Black Pond"
"1050",0.299312561369474,379,35.620833,-84.186667,"Black Pond"
"1129",0.359670734045257,10454,46.503333,-92.573333,"Blackhoof Site"
"1156",0.285477953481356,7335,43.083333,-89.866667,"Blue Mounds Creek"
"1317",0.296558964279011,8110,30.36,-97.126111,"Boriack Bog"
"1319",0.33073218327746,8697,30.36,-97.126111,"Boriack Bog"
"1322",0.308069490873555,9580,30.36,-97.126111,"Boriack Bog"
"1324",0.25943468855302,10002,30.36,-97.126111,"Boriack Bog"
"1325",0.290835064605135,10214,30.36,-97.126111,"Boriack Bog"
"1328",0.323080630707628,10848,30.36,-97.126111,"Boriack Bog"
"1337",0.270449353629246,12752,30.36,-97.126111,"Boriack Bog"
"1342",0.2741733636029,13810,30.36,-97.126111,"Boriack Bog"
"1344",0.258208238672137,14288,30.36,-97.126111,"Boriack Bog"
"1345",0.289444801990045,14527,30.36,-97.126111,"Boriack Bog"
"1346",0.329851150022027,14766,30.36,-97.126111,"Boriack Bog"
"1347",0.344035482990912,15005,30.36,-97.126111,"Boriack Bog"
"1348",0.316480117186567,15244,30.36,-97.126111,"Boriack Bog"
"1349",0.345749285526623,15483,30.36,-97.126111,"Boriack Bog"
"1350",0.57317847543883,15723,30.36,-97.126111,"Boriack Bog"
"1386",0.27165796754449,0,47.457778,-69.452778,"Lac Boucané"
"1438",0.304986494443051,6666,55.25,-67.4,"Boundary Lake"
"1439",0.267332993239273,6900,55.25,-67.4,"Boundary Lake"
"1577",0.264434648840031,-6,43.22,-81.73,"Brophy Ditch"
"1598",0.279152488234063,4825,43.22,-81.73,"Brophy Ditch"
"1657",0.33555614110423,8423,38.154722,-79.616389,"Browns Pond"
"1658",0.359206094607891,8700,38.154722,-79.616389,"Browns Pond"
"1660",0.270782715760526,9531,38.154722,-79.616389,"Browns Pond"
"1665",0.284749426556085,11747,38.154722,-79.616389,"Browns Pond"
"1678",0.257675525723399,13829,38.154722,-79.616389,"Browns Pond"
"1679",0.259679298203019,13944,38.154722,-79.616389,"Browns Pond"
"1681",0.280614552824005,14058,38.154722,-79.616389,"Browns Pond"
"1682",0.332024398322328,14173,38.154722,-79.616389,"Browns Pond"
"1683",0.286340374119264,14230,38.154722,-79.616389,"Browns Pond"
"1688",0.394514402284731,15670,38.154722,-79.616389,"Browns Pond"
"1894",0.314139141020895,11493,33.5,-86.533333,"Cahaba Pond"
"1896",0.261173846574728,11620,33.5,-86.533333,"Cahaba Pond"
"1897",0.339964230115164,11684,33.5,-86.533333,"Cahaba Pond"
"1898",0.326108290502121,11748,33.5,-86.533333,"Cahaba Pond"
"1939",0.386262212611477,0,45.961111,-73.868056,"Saint-Calixte"
"1941",0.262715366962755,0,45.961111,-73.868056,"Saint-Calixte"
"2005",0.31339270540592,12462,30.266667,-85.016667,"Camel Lake"
"2007",0.803958762708366,13040,30.266667,-85.016667,"Camel Lake"
"2008",0.321028807445552,13470,30.266667,-85.016667,"Camel Lake"
"2218",0.359253274322367,12218,40.216667,-84.680556,"Carter Site"
"2219",0.36685949922524,12323,40.216667,-84.680556,"Carter Site"
"2220",0.495379135880851,12428,40.216667,-84.680556,"Carter Site"
"2224",0.27011766084956,13145,40.216667,-84.680556,"Carter Site"
"2321",0.292509300516659,8079,45.411111,-93.197222,"Cedar Bog Lake"
"2348",0.29632596396086,9688,45.651389,-60.675,"Chase Pond"
"2349",0.313301255140656,9750,45.651389,-60.675,"Chase Pond"
"2350",0.329504758784931,9821,45.651389,-60.675,"Chase Pond"
"2351",0.262964613477687,9931,45.651389,-60.675,"Chase Pond"
"2352",0.262741611203192,9992,45.651389,-60.675,"Chase Pond"
"2394",0.256843347426517,8333,38.466667,-98.666667,"Cheyenne Bottoms"
"2398",0.422578157309798,10064,38.466667,-98.666667,"Cheyenne Bottoms"
"2578",0.257036344895763,13294,40.675833,-88.343333,"Chatsworth Bog"
"2839",0.261429427554935,15803,33.798611,-78.953611,"Clear Pond (US:South Carolina)"
"2978",0.266219237062696,5819,42.02,-93.27,"Colo Marsh"
"2991",0.321186135958328,9869,42.02,-93.27,"Colo Marsh"
"3092",0.264780789848554,12478,50.034167,-56.196389,"Compass Pond"
"3093",0.282165531772097,12752,50.034167,-56.196389,"Compass Pond"
"3094",0.347798366364776,13025,50.034167,-56.196389,"Compass Pond"
"3195",0.275292866555181,4339,45.960833,-73.341944,"Tourbière de Lanoraie COTEAU JAUNE"
"3197",0.366778859638249,4827,45.960833,-73.341944,"Tourbière de Lanoraie COTEAU JAUNE"
"3198",0.269704169607689,5009,45.960833,-73.341944,"Tourbière de Lanoraie COTEAU JAUNE"
"3236",0.373068217230093,8309,44.836111,-99.906389,"Cottonwood Lake (US:South Dakota)"
"3237",0.356069191195915,8553,44.836111,-99.906389,"Cottonwood Lake (US:South Dakota)"
"3403",0.291572525641181,3064,38.2,-80.283333,"Cranberry Glades"
"3411",0.265213126464191,5194,38.2,-80.283333,"Cranberry Glades"
"3412",0.330995338939026,5850,38.2,-80.283333,"Cranberry Glades"
"3413",0.262807633464813,6505,38.2,-80.283333,"Cranberry Glades"
"3415",0.256693766468917,8019,38.2,-80.283333,"Cranberry Glades"
"3420",0.287929487884335,12185,38.2,-80.283333,"Cranberry Glades"
"3468",0.31260643375946,5647,49.183333,-81.266667,"Crates Lake"
"3630",0.265994871693665,9368,43.6,-79.6,"Creditview Wetland"
"3632",0.342242694622316,9663,43.6,-79.6,"Creditview Wetland"
"3704",0.329062340384016,15367,39.966667,-77.55,"Crider's Pond"
"3860",0.294377527471687,15006,36.8,-91.1,"Cupola Pond"
"4159",0.328473480003064,585,43.48,-85,"Demont Lake"
"4273",0.263062024255101,6475,48.083333,-98.933333,"Devils Lake (US:North Dakota)"
"4415",0.287522655602992,6496,60.9875,-69.958333,"Diana 375"
"4419",0.355403597890266,0,60.9875,-69.958333,"Diana 375"
"4420",0.360545460744516,0,60.9875,-69.958333,"Diana 375"
"4458",0.329798089542865,979,36.583333,-76.45,"Dismal Swamp (91)"
"4459",0.403807945295182,1499,36.583333,-76.45,"Dismal Swamp (91)"
"4493",0.285728469723716,1639,43.916944,-89.166944,"Disterhaft Farm Bog"
"4507",0.276900839018409,2974,43.916944,-89.166944,"Disterhaft Farm Bog"
"4624",0.288710192683996,137,41.275,-70.058333,"Donut Pond Bog"
"4626",0.338329508881579,187,41.275,-70.058333,"Donut Pond Bog"
"4627",0.304304278117686,220,41.275,-70.058333,"Donut Pond Bog"
"5218",0.277562539140018,36,44.757778,-93.166667,"Farquar Lake"
