"","diss","age","lat","long","site","dataset"
"202",0.32656236496554,21339,39.495,-95.526667,"Arrington Marsh",214
"704",0.298937161328194,775,39.766667,-78.55,"Big Pond",274
"789",0.31738544891104,310,35.620833,-84.186667,"Black Pond",278
"791",0.347279637444377,356,35.620833,-84.186667,"Black Pond",278
"792",0.285284347123387,379,35.620833,-84.186667,"Black Pond",278
"880",0.288404380103265,7179,43.083333,-89.866667,"Blue Mounds Creek",287
"928",0.247116776654658,1323,47.183333,-95.166667,"Bog D",298
"1002",0.245406137581265,7815,30.36,-97.126111,"Boriack Bog",304
"1003",0.297055557645887,8110,30.36,-97.126111,"Boriack Bog",304
"1005",0.406027232515006,8697,30.36,-97.126111,"Boriack Bog",304
"1008",0.291193736705261,10637,30.36,-97.126111,"Boriack Bog",304
"1009",0.289241058975589,11271,30.36,-97.126111,"Boriack Bog",304
"1012",0.348699735033255,12752,30.36,-97.126111,"Boriack Bog",304
"1013",0.263734894092712,12963,30.36,-97.126111,"Boriack Bog",304
"1015",0.26633393944094,13598,30.36,-97.126111,"Boriack Bog",304
"1016",0.334933934120712,14049,30.36,-97.126111,"Boriack Bog",304
"1017",0.328780310202994,14766,30.36,-97.126111,"Boriack Bog",304
"1018",0.345233477407859,15005,30.36,-97.126111,"Boriack Bog",304
"1019",0.364981589730165,15483,30.36,-97.126111,"Boriack Bog",304
"1048",0.259217734883597,0,47.457778,-69.452778,"Lac Boucané",306
"1099",0.271637276962176,6900,55.25,-67.4,"Boundary Lake",307
"1228",0.260215629456713,1447,43.22,-81.73,"Brophy Ditch",312
"1235",0.258535170173665,4825,43.22,-81.73,"Brophy Ditch",312
"1281",0.378011162087137,8423,38.154722,-79.616389,"Browns Pond",316
"1283",0.260668349285708,9531,38.154722,-79.616389,"Browns Pond",316
"1436",0.246665615768936,11429,33.5,-86.533333,"Cahaba Pond",328
"1437",0.325237281880063,11493,33.5,-86.533333,"Cahaba Pond",328
"1439",0.30590521375637,11620,33.5,-86.533333,"Cahaba Pond",328
"1440",0.379842797568808,11684,33.5,-86.533333,"Cahaba Pond",328
"1441",0.33895854292232,11748,33.5,-86.533333,"Cahaba Pond",328
"1504",0.267722978542297,11054,30.266667,-85.016667,"Camel Lake",331
"1515",0.245481800595784,12314,30.266667,-85.016667,"Camel Lake",331
"1516",0.299047885250293,12462,30.266667,-85.016667,"Camel Lake",331
"1517",0.795275197108928,13040,30.266667,-85.016667,"Camel Lake",331
"1721",0.255560769490914,3182,45.411111,-93.197222,"Cedar Bog Lake",352
"1756",0.290818352189055,9632,45.651389,-60.675,"Chase Pond",361
"1757",0.331458893469323,9688,45.651389,-60.675,"Chase Pond",361
"1758",0.37913296163922,9750,45.651389,-60.675,"Chase Pond",361
"1759",0.391804377198421,9821,45.651389,-60.675,"Chase Pond",361
"1760",0.308880210524134,9931,45.651389,-60.675,"Chase Pond",361
"1761",0.293783087222373,9992,45.651389,-60.675,"Chase Pond",361
"1780",0.246294666164722,12827,45.651389,-60.675,"Chase Pond",361
"2437",0.286716156743012,3064,38.2,-80.283333,"Cranberry Glades",518
"2445",0.260627633126769,5194,38.2,-80.283333,"Cranberry Glades",518
"2446",0.32534012066348,5850,38.2,-80.283333,"Cranberry Glades",518
"2447",0.265418954202947,6505,38.2,-80.283333,"Cranberry Glades",518
"2449",0.254925293822566,8019,38.2,-80.283333,"Cranberry Glades",518
"2454",0.27178507790999,12185,38.2,-80.283333,"Cranberry Glades",518
"2502",0.336477227861791,5647,49.183333,-81.266667,"Crates Lake",519
"2639",0.25123736982486,9368,43.6,-79.6,"Creditview Wetland",522
"2641",0.352753570325705,9663,43.6,-79.6,"Creditview Wetland",522
"2696",0.322747385916028,15367,39.966667,-77.55,"Crider's Pond",523
"2846",0.266691403359021,16754,36.8,-91.1,"Cupola Pond",539
"3049",0.306689017047175,585,43.48,-85,"Demont Lake",679
"3148",0.257114723038842,6120,48.083333,-98.933333,"Devils Lake (US:North Dakota)",683
"3182",0.320990179192284,979,36.583333,-76.45,"Dismal Swamp (91)",699
"3183",0.423979409058485,1499,36.583333,-76.45,"Dismal Swamp (91)",699
"3184",0.275904821948477,2019,36.583333,-76.45,"Dismal Swamp (91)",699
"3209",0.295209249074952,1639,43.916944,-89.166944,"Disterhaft Farm Bog",3081
"3223",0.291488419350392,2974,43.916944,-89.166944,"Disterhaft Farm Bog",700
"3338",0.248640308637473,87,41.275,-70.058333,"Donut Pond Bog",721
"3339",0.272247959228026,137,41.275,-70.058333,"Donut Pond Bog",721
"3341",0.326885967493357,187,41.275,-70.058333,"Donut Pond Bog",721
"3342",0.302113063283362,220,41.275,-70.058333,"Donut Pond Bog",721
"3444",0.246868542935243,6413,53.233333,-58.55,"Eagle Lake",777
"3740",0.268313537882042,36,44.757778,-93.166667,"Farquar Lake",822
"3828",0.26156623951323,1354,34.405556,-95.808333,"Ferndale Bog",3126
"3832",0.275018164854857,1868,34.405556,-95.808333,"Ferndale Bog",3126
"3833",0.278279021312829,2741,34.405556,-95.808333,"Ferndale Bog",828
"3835",0.289654635012999,2858,34.405556,-95.808333,"Ferndale Bog",828
"3837",0.256300795485075,2474,34.405556,-95.808333,"Ferndale Bog",3126
"3838",0.258845151218071,3092,34.405556,-95.808333,"Ferndale Bog",828
"3839",0.339122045476577,2625,34.405556,-95.808333,"Ferndale Bog",3126
"3840",0.281908064156548,2716,34.405556,-95.808333,"Ferndale Bog",3126
"3841",0.322872843156482,2704,34.405556,-95.808333,"Ferndale Bog",3126
"3842",0.323248765509355,2693,34.405556,-95.808333,"Ferndale Bog",3126
"3843",0.309265954578337,2681,34.405556,-95.808333,"Ferndale Bog",3126
"3844",0.346534962630896,2670,34.405556,-95.808333,"Ferndale Bog",3126
