"","rep.NA..length.datasets..","rep.NA..length.datasets...1"
"1",214,"Grüger, J. 1973. Studies on the late Quaternary vegetation history of northeastern Kansas. Geological Society of America Bulletin 84:239-250."
"2",274,"Watts, W.A. 1979. Late Quaternary vegetation of central Appalachia and the New Jersey coastal plain. Ecological Monographs 49:427-469."
"3",278,"Cridlebaugh, P.A. 1984. American Indian and Euro-American impact upon Holocene vegetation in the Lower Little Tennessee River Valley, East Tennessee. Dissertation. University of Tennessee, Knoxville, Tennessee, USA."
"4",287,"Davis, A.M. 1977. The prairie-deciduous forest ecotone in the upper Middle West. Annals of the Association of American Geographers 67(2):204-213. http://www.jstor.org/discover/10.2307/2561860."
"5",298,"McAndrews, J.H. 1966. Postglacial history of prairie, savanna, and forest in northwestern Minnesota. Torrey Botanical Club Memoir 22(2):1-72."
"6",304,"Bryant, V.M., Jr. 1977. A 16,000 year pollen record of vegetational change in central Texas. Palynology 1:143-156."
"7",306,"Lortie, G., and P.J.H. Richard. 1986. Late-glacial diatom and pollen stratigraphy from Lake Boucané, southeastern Québec, Canada. Pages 687-697 in M. Ricard, editor. Proceedings of the 8th International Symposium on Living and Fossil Diatoms, Paris, August 27 - September 1, 1984."
"8",307,"Stravers, L.K.S. 1981. Palynology and deglaciation history of the central Labrador-Ungava Peninsula. Master's thesis. University of Colorado, Boulder, Colorado, USA."
"9",312,"Morgan, A.V., J.H. McAndrews, and C.J. Ellis. (n.d.) Geological history and paleoenvironment of the Parkhill archaeological site. Unpublished manuscript."
"10",316,"Kneller, M., and D.M. Peteet. 1993. Late-Quaternary climate in the ridge and valley of Virginia, U.S.A.: changes in vegetation and depositional environment. Quaternary Science Reviews 12:613-628."
"11",328,"Delcourt, H.R., P.A. Delcourt, and E.C. Spiker. 1983. A 12,000-year record of forest history from Cahaba Pond, St. Clair County, Alabama. Ecology 64:874-887."
"12",331,"Watts, W.A., B.C.S. Hansen, and E.C. Grimm. 1992. Camel Lake: A 40,000-yr record of vegetational and forest history from northwest Florida. Ecology 73:1056-1066."
"13",352,"Cushing, E.J. 1963. Late-Wisconsin pollen stratigraphy in east-central Minnesota. Dissertation. University of Minnesota, Minneapolis, Minnesota, USA."
"14",361,"Levesque, A.J., F.E. Mayle, I.R. Walker, and L.C. Cwynar. 1993. A previously unrecognized late-glacial cold event in eastern North America. Nature 361:623-626."
"15",518,"Watts, W.A. 1979. Late Quaternary vegetation of central Appalachia and the New Jersey coastal plain. Ecological Monographs 49:427-469."
"16",519,NA
"17",522,NA
"18",523,"Watts, W.A. 1979. Late Quaternary vegetation of central Appalachia and the New Jersey coastal plain. Ecological Monographs 49:427-469."
"19",539,"Smith, E.N., Jr. 1984. Late-Quaternary vegetational history at Cupola Pond, Ozark National Scenic Riverways, southeastern Missouri. Thesis. The University of Tennessee, Knoxville, Tennessee, USA."
"20",679,NA
"21",683,NA
"22",699,"Whitehead, D.R. 1972. Developmental and environmental history of the Dismal Swamp. Ecological Monographs 42:301-315."
"23",3081,"Baker, R.G. 1970. A radiocarbon-dated pollen chronology for Wisconsin: Disterhaft Farm Bog revisited. Geological Society of America Abstracts 2:488."
"24",700,"Baker, R.G. 1970. A radiocarbon-dated pollen chronology for Wisconsin: Disterhaft Farm Bog revisited. Geological Society of America Abstracts 2:488."
"25",721,"Dunwiddie, P.W. 1989. Forest and health: the shaping of the vegetation on Nantucket Island. Journal of Forest History 33:126-133."
"26",777,"Lamb, H.F. 1978. Post-glacial vegetation change in southeastern Labrador. Thesis. University of Minnesota, Minneapolis, Minnesota, USA."
"27",822,"McAndrews, J.H. 1968. Pollen evidence for the protohistoric development of the ""Big Woods"" in Minnesota (U.S.A.). Review of Palaeobotany and Palynology 7:201-211."
"28",3126,"Albert, L.E., and D.G. Wyckoff. 1981. Ferndale Bog and Natural Lake: five thousand years of environmental change in southeastern Oklahoma. Oklahoma Archaeological Survey, Studies in Oklahoma's Past, Number 7."
"29",828,"Albert, L.E., and D.G. Wyckoff. 1981. Ferndale Bog and Natural Lake: five thousand years of environmental change in southeastern Oklahoma. Oklahoma Archaeological Survey, Studies in Oklahoma's Past, Number 7."
"30",847,"Kerfoot, W.C. 1974. Net accumulation rates and the history of cladoceran communities. Ecology 55:51-61."
"31",860,"Webb, S.L. 1983. The Holocene extension of the range of American Beech (Fagus grandifolia) into Wisconsin: paleoecological evidence for long-distance seed dispersal. Dissertation. University of Minnesota, Minneapolis, Minnesota, USA."
"32",861,"Bryant, V.M., Jr. 1977. A 16,000 year pollen record of vegetational change in central Texas. Palynology 1:143-156."
"33",863,NA
"34",878,"Ritchie, J.C., and S. Lichti-Federovich. 1968. Holocene pollen assemblages from the Tiger Hills, Manitoba. Canadian Journal of Earth Sciences 5:873-880."
"35",986,"McCarthy, F.M.G. 1986. Late Holocene water levels in Lake Ontario: evidence from Grenadier Pond. M.S. Thesis. University of Toronto, Toronto, Ontario, Canada."
"36",1004,"Bachhuber, F.W. 1966. Pollen analysis from Hansen Marsh an upland site southcentral Wisconsin. Thesis. University of Wisconsin, Wisconsin, USA."
"37",1007,"Jetté, H., and P.J.H. Richard. 1992. Contribution à l'histoire postglaciaire de la végétation en Gaspésie méridionale, Québec. Géographie physique et Quaternaire 46:273-284."
"38",1012,NA
