"sample.depths","sample.ages","upland.sum","Acer.rubrum","Alnus","Betula","Carya","Celtis","Cephalanthus","Ericales","Fagus","Fraxinus.cf..F..caroliniana","Gordonia","Ilex","Juglans.nigra","Liquidambar","Magnolia.virginiana.type","Morus","Myrica","Ostrya.Carpinus","Parthenocissus","Pinus","Quercus","Sabal","Salix","Schrankia","Serenoa","Taxodium.type","Ulmus","Vitis","Agalinis.type","Ambrosia.type","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Caryophyllaceae","Chamaecrista.type","Chenopodium.type","Cyperaceae.undiff.","Dalea.feayi.type","Diodia.teres","Helianthemum","Iva.annua.type","Lechea","Poaceae","Polygonella.fimbriata.type","Polygonella.polygama.type","Polygonum.lapathifolium.type","Rhexia","Rumex","Vicia.type"
2406,1319,306,0,0,0,1,0,1,3,0,1,6,2,0,0,0,0,30,1,0,166,24,1,0,0,0,3,2,1,0,0,0,0,4,0,0,40,2,0,0,0,2,0,15,0,1,0,0,0,0
2454,1479,408,0,0,0,3,0,1,5,0,1,10,6,0,2,0,0,33,0,0,244,46,2,0,0,1,5,0,1,1,3,0,0,1,0,0,18,8,1,0,0,2,0,14,0,0,0,0,0,0
2502,1638,337,0,0,0,0,0,2,2,0,1,15,3,0,0,1,0,27,1,0,165,36,0,1,0,2,5,0,1,0,1,0,1,6,0,0,36,4,0,0,0,3,1,23,0,0,0,0,0,0
2566,1858,350,0,1,0,3,0,0,3,0,2,4,8,0,1,0,2,22,1,0,194,47,0,0,0,2,2,1,2,0,0,0,0,3,0,0,29,6,0,0,0,1,0,16,0,0,0,0,0,0
2614,2106,416,0,1,0,0,0,0,7,0,0,9,9,0,0,0,0,46,0,0,200,60,2,0,0,4,5,1,1,0,0,0,0,0,0,0,40,5,0,0,0,6,0,20,0,0,0,0,0,0
2662,2354,312,1,0,0,6,0,0,3,0,1,8,5,0,1,0,0,27,1,0,133,55,0,0,0,2,3,1,0,0,1,0,0,3,0,0,46,6,0,0,0,1,1,7,0,0,0,0,0,0
2710,2602,337,0,0,0,3,0,1,6,0,1,8,8,0,0,0,2,40,0,0,154,40,0,0,0,1,6,0,0,0,0,1,0,3,0,0,31,6,0,0,0,8,0,17,0,1,0,0,0,0
2774,2944,357,0,1,0,1,0,0,4,0,1,15,4,0,0,0,0,43,0,0,168,39,3,0,0,0,6,0,0,0,0,0,0,1,0,0,30,11,0,0,0,11,0,19,0,0,0,0,0,0
2806,3133,350,0,1,0,1,2,0,7,0,4,21,7,0,0,0,0,33,0,0,136,68,0,1,1,0,4,1,1,0,3,0,1,1,0,1,35,7,0,0,0,5,0,9,0,0,0,0,0,0
2838,3323,349,0,1,0,2,0,1,7,0,1,8,6,0,1,0,0,34,0,0,133,43,3,0,0,4,2,1,3,0,2,0,0,2,0,0,59,5,0,0,0,12,0,19,0,0,0,0,0,0
2870,3512,308,0,0,0,3,0,0,6,0,3,5,1,0,1,0,0,18,0,0,155,40,1,2,0,1,1,1,0,0,1,0,0,1,1,1,46,4,0,0,0,4,0,12,0,0,0,0,0,0
2902,3701,323,0,1,0,3,0,0,2,0,0,7,5,0,1,0,0,24,0,0,142,67,0,0,0,0,3,1,0,0,2,1,0,2,0,0,27,3,1,0,0,13,0,18,0,0,0,0,0,0
2934,3890,332,0,0,0,5,0,0,3,0,1,8,3,0,0,0,0,20,0,0,175,62,2,0,0,1,0,1,0,0,3,0,0,2,0,0,21,4,0,0,0,5,1,14,0,1,0,0,0,0
2990,4272,300,0,0,0,5,0,0,3,0,0,7,6,0,1,0,0,13,0,0,141,56,0,2,0,1,0,0,0,0,1,0,0,4,0,0,33,2,0,0,0,9,0,16,0,0,0,0,0,0
3048,4707,349,0,1,1,1,0,0,2,0,2,6,1,0,0,0,0,34,1,0,142,68,1,0,0,0,1,0,0,0,2,1,0,5,0,0,50,5,0,0,0,7,0,18,0,0,0,0,0,0
3084,4976,298,0,0,0,3,0,0,3,0,1,13,1,0,0,0,1,20,0,0,101,75,0,0,0,0,0,0,2,0,1,0,0,5,0,0,51,3,0,0,1,6,1,10,0,0,0,0,0,0
3128,5306,306,0,0,0,4,0,0,3,0,0,0,0,0,0,0,0,34,0,0,149,60,1,0,0,0,0,0,1,0,1,0,0,5,0,0,30,4,0,0,0,5,0,9,0,0,0,0,0,0
3164,5505,316,0,0,1,7,0,1,2,0,1,2,3,0,0,0,0,36,2,0,119,63,1,0,0,0,1,1,0,0,1,1,0,3,0,0,38,10,0,0,0,8,0,14,0,0,0,1,0,0
3204,5721,415,0,1,0,12,0,0,1,0,2,0,0,0,0,0,0,13,1,0,160,139,2,1,1,0,0,0,1,0,1,0,0,5,0,1,31,13,0,0,0,7,2,21,0,0,0,0,0,0
3236,5894,365,0,0,0,5,1,0,1,0,1,0,0,0,2,0,0,9,0,0,148,136,0,0,0,1,0,0,0,0,1,0,0,4,0,0,17,8,0,0,0,14,1,16,0,0,0,0,0,0
3268,6067,346,0,0,0,1,1,0,2,0,0,0,0,0,0,0,1,12,1,0,144,102,1,0,0,0,0,0,0,0,3,1,0,4,0,0,23,11,0,0,0,10,0,28,0,0,0,1,0,0
3322,6359,328,0,0,0,9,0,0,1,0,1,0,0,0,0,0,0,7,0,0,85,109,1,0,0,0,0,1,0,1,3,0,0,5,0,0,18,40,0,0,0,13,0,34,0,0,0,0,0,0
3346,6575,321,0,0,0,10,0,0,0,0,0,0,0,0,1,0,0,4,2,0,76,115,1,0,0,0,0,0,0,0,3,0,0,2,0,2,19,28,0,0,0,16,1,40,0,1,0,0,0,0
3376,6854,311,0,1,0,4,0,0,1,0,0,0,0,0,0,0,0,5,0,0,54,109,0,0,0,0,0,2,0,0,3,0,0,8,0,0,17,23,0,0,0,22,0,61,0,0,0,1,0,0
3392,7004,314,0,2,0,11,0,0,2,0,1,0,0,0,0,0,0,7,1,0,72,103,0,0,0,0,0,0,1,0,5,0,0,7,0,1,14,11,0,0,0,18,1,57,0,0,0,0,0,0
3408,7153,322,0,1,0,9,0,0,1,0,0,0,0,0,1,0,0,1,0,0,41,139,1,0,0,0,0,1,1,1,12,0,0,9,1,0,13,22,0,0,0,13,0,55,0,0,0,0,0,0
3428,7607,348,0,0,0,21,0,0,1,0,0,0,0,0,0,0,0,1,1,0,84,146,0,0,0,0,0,0,1,1,10,0,0,3,0,0,12,10,1,0,0,14,0,42,0,0,0,0,0,0
3440,7919,322,0,3,0,24,0,0,2,1,0,0,0,0,0,0,0,6,1,0,66,120,0,0,0,0,1,1,0,0,10,0,0,10,0,3,10,5,0,0,0,7,0,52,0,0,0,0,0,0
3456,8335,354,0,1,0,20,0,0,1,0,0,0,0,0,0,0,0,3,0,0,125,134,0,0,0,0,0,0,2,0,15,0,0,7,0,0,0,9,0,0,0,3,0,34,0,0,0,0,0,0
3466,8596,307,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,1,0,0,81,153,0,1,0,0,0,0,1,0,9,0,0,11,0,1,3,2,0,0,0,1,0,39,0,0,0,0,0,0
3474,8804,296,0,0,0,7,0,0,1,0,0,0,0,0,0,0,0,1,0,0,64,108,0,0,0,0,0,0,1,0,16,0,1,10,0,0,6,15,1,0,0,0,0,64,0,0,1,0,0,0
3490,9158,331,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,168,0,0,0,0,0,1,2,0,30,0,0,5,0,1,2,6,0,0,0,2,0,38,0,0,0,0,0,0
3506,9407,331,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,60,160,0,0,0,0,0,0,0,0,24,0,0,7,0,0,5,8,0,0,0,1,0,60,0,0,0,0,0,0
3522,9656,334,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,52,161,5,0,0,0,2,1,0,0,18,0,1,5,0,3,4,9,0,1,0,1,0,67,0,1,0,1,0,0
3530,9781,275,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,30,160,0,0,0,0,1,0,0,1,26,0,1,1,0,2,2,3,0,0,0,2,1,41,0,0,0,2,0,0
3552,10123,309,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,37,159,1,0,0,1,0,0,2,0,31,0,1,8,0,3,4,12,0,0,0,0,2,43,0,0,0,1,0,0
3568,10373,307,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,2,0,0,46,161,1,0,0,0,0,0,2,0,33,0,0,3,0,0,7,8,0,0,0,0,0,39,0,0,0,0,0,0
3576,10489,330,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,49,180,1,1,0,0,0,0,0,0,27,0,1,6,0,0,4,15,0,0,0,0,0,40,0,2,0,0,0,0
3584,10597,305,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,6,0,0,69,140,2,0,0,0,0,1,0,0,30,0,0,4,0,1,3,11,0,0,0,0,0,35,0,0,0,0,0,0
3592,10705,327,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,2,0,0,63,172,1,0,0,0,0,2,0,0,35,0,0,5,0,1,5,4,0,0,0,1,0,30,0,0,0,0,0,1
3604,10867,327,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,1,74,172,1,0,0,0,0,2,0,0,26,0,0,5,0,1,4,5,0,0,0,1,1,28,0,1,0,0,0,1
3608,10922,359,0,2,0,3,0,0,2,0,0,0,0,0,0,0,0,3,0,0,83,188,0,0,0,0,1,0,0,1,34,0,1,6,0,0,1,2,0,0,0,4,0,28,0,0,0,0,0,0
3616,11030,379,0,0,0,7,0,0,0,0,0,0,0,0,1,0,1,2,0,0,97,152,4,0,0,0,0,3,1,0,42,0,0,11,0,1,8,7,0,0,0,0,0,41,0,1,0,0,0,0
3624,11138,300,0,0,0,5,0,0,0,0,0,0,0,0,1,0,1,1,0,0,71,137,0,0,0,0,0,2,0,0,38,0,0,4,0,0,5,5,0,0,0,2,0,28,0,0,0,0,0,0
3632,11246,339,0,2,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,88,130,1,0,0,0,0,1,0,0,51,0,0,11,0,1,7,7,0,0,0,2,1,31,0,1,0,0,0,0
3640,11354,305,0,0,0,10,0,0,0,0,0,0,1,0,2,0,0,1,0,0,69,122,0,0,0,0,0,1,2,0,59,0,0,10,0,0,3,0,1,0,0,4,0,18,0,0,0,2,0,0
3644,11408,317,0,0,0,12,0,0,0,0,0,0,0,0,2,0,0,2,1,0,97,84,0,0,0,0,0,2,0,0,56,0,2,19,0,2,11,1,1,0,0,2,0,22,0,0,1,0,0,0
3648,11462,416,0,0,0,19,0,0,2,1,1,0,0,0,1,0,0,6,1,1,158,106,1,0,0,0,0,5,0,0,50,0,0,11,0,1,17,5,0,0,0,1,0,29,0,0,0,0,0,0
3652,11768,313,0,2,0,9,0,0,0,0,0,0,0,0,0,0,0,5,0,1,123,67,2,0,0,0,0,2,1,0,51,1,0,8,0,0,19,6,1,0,0,3,0,11,0,1,0,0,0,0
3656,12019,272,0,0,0,8,0,0,2,2,1,0,0,0,0,0,0,7,1,0,85,70,2,0,0,0,1,2,0,0,31,0,0,16,0,0,23,3,0,0,0,2,0,15,0,1,0,0,0,0
3660,12270,288,0,0,0,12,0,0,3,0,0,0,0,0,2,0,0,3,0,0,83,74,0,0,0,0,0,1,0,0,48,0,0,8,0,0,24,5,0,1,0,4,1,18,0,0,0,0,1,0
3664,12522,338,0,2,0,13,0,0,1,0,0,0,0,0,2,0,0,6,0,0,118,61,1,0,0,0,2,1,0,1,56,0,0,16,0,0,17,3,0,1,0,2,2,32,0,0,1,0,0,0
3668,12773,308,0,1,0,8,0,0,3,0,0,0,0,0,1,0,0,1,0,1,81,71,0,0,0,0,0,1,0,0,61,0,0,10,0,0,31,3,0,0,0,3,0,27,0,5,0,0,0,0
3672,12797,315,0,0,0,4,0,0,1,0,0,1,1,0,0,0,0,6,2,2,18,79,0,0,0,0,0,3,2,1,52,0,1,21,0,0,83,12,1,0,0,4,0,19,0,2,0,0,0,0
3676,12821,294,0,0,0,4,0,0,0,0,2,0,2,0,0,0,0,8,2,0,31,101,1,0,0,1,2,1,2,0,51,0,0,22,0,0,37,3,4,0,0,3,0,14,0,2,1,0,0,0
3680,12845,353,0,0,0,6,0,0,0,0,1,0,0,0,0,0,0,3,1,0,16,63,0,0,0,1,0,0,1,0,38,0,0,20,0,0,184,2,0,0,0,5,0,12,0,0,0,0,0,0
3684,12869,346,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,14,0,1,35,100,0,0,0,0,0,2,5,1,58,0,0,24,0,2,67,6,3,0,0,7,0,14,0,2,0,0,0,0
3688,12893,311,1,0,0,9,0,0,2,0,0,2,0,1,0,0,0,9,0,2,40,94,3,0,0,0,1,1,0,1,61,0,0,10,1,0,31,3,5,0,0,3,1,27,0,3,0,0,0,0
3692,12918,296,0,2,0,11,0,0,1,0,0,0,0,0,0,0,0,2,1,1,46,101,2,0,0,0,0,3,2,3,55,0,0,27,0,0,19,3,0,0,0,0,0,15,0,1,0,0,0,1
3696,12942,311,0,0,0,9,0,0,1,0,1,1,1,0,1,0,1,5,0,0,48,104,0,0,0,1,1,1,0,0,54,0,1,15,0,0,26,6,1,0,0,6,0,24,0,2,1,0,0,0
3708,13028,298,0,0,0,22,0,0,1,1,0,0,1,0,0,0,1,12,0,2,23,109,1,0,0,0,2,1,3,1,59,0,1,24,0,0,14,2,5,0,0,0,0,11,1,0,1,0,0,0
3716,13089,297,0,2,1,16,0,0,1,1,0,1,4,0,1,0,1,7,0,0,27,97,3,0,1,0,0,2,1,0,62,0,1,28,0,0,14,1,2,0,1,5,0,15,1,0,0,0,1,0
3736,13244,359,0,0,0,11,0,0,0,1,1,0,3,0,1,0,4,5,0,3,43,113,2,0,0,0,3,2,2,0,60,0,0,38,0,0,23,10,2,1,0,5,0,25,0,0,0,0,1,0
3744,13305,280,0,0,0,13,0,0,0,1,1,0,0,0,1,0,0,3,0,1,29,106,0,1,0,0,1,1,4,1,60,0,0,14,0,0,14,3,3,0,0,6,0,16,0,1,0,0,0,0
3756,13398,321,0,0,1,5,0,0,0,0,0,0,1,0,1,0,1,2,0,0,41,134,0,0,1,0,1,6,4,1,49,0,0,13,1,0,16,10,3,0,1,4,1,21,2,0,0,0,1,0
3768,13490,352,0,0,0,10,0,0,2,1,2,0,0,0,1,0,0,7,0,1,67,92,1,0,0,1,3,1,3,1,60,0,0,28,0,0,26,9,0,1,0,3,0,27,0,2,1,0,1,1
3772,13521,325,0,0,0,10,0,0,2,0,0,0,0,0,0,0,0,5,0,1,74,106,2,0,1,0,1,3,3,0,44,0,0,20,0,1,20,6,1,0,0,4,0,19,0,1,0,0,1,0
3784,NA,322,0,0,0,4,0,0,0,0,0,0,1,1,0,0,2,5,0,0,82,94,2,1,0,0,1,2,4,0,56,0,0,26,0,0,14,2,1,0,0,4,0,14,1,3,2,0,0,0
3792,NA,304,0,0,0,12,0,0,0,0,1,0,0,0,1,0,1,3,0,0,106,100,0,0,0,1,1,0,0,0,42,0,0,15,0,0,6,1,1,0,0,2,0,11,0,0,0,0,0,0
