"sample.depths","sample.ages","Picea.mariana.type","Picea.undiff.","Pinus.banksiana.type","Pinus.strobus","Pinus.undiff.","Quercus","Ulmus","Fraxinus.nigra.type","Larix.laricina","Betula","Salix","Alnus.viridis.subsp..crispa.type","Alnus.incana.type","Myrica.gale","Corylus.cornuta","Ericaceae","Cyperaceae","Poaceae","Artemisia","Ambrosia.type","Asteraceae.subf..Asteroideae.undiff.","Chenopodiaceae","Rosaceae.undiff.","Caryophyllaceae","Brassicaceae","Thalictrum","Rubus.chamaemorus","Potentilla.palustris.type","Menyanthes.trifoliata","Indeterminable","Typha.Sparganium","Lycopodium.annotinum","Lycopodium.clavatum","Spore..monolete.","Spore..trilete.","Sphagnum","Sample.volume..ml.","Eucalyptus.spike..number.counted.","Eucalyptus.suspension..volume.added..ml.","Eucalyptus.suspension..concentration..grains.ml."
0,-45,32,9,11,0,1,0,0,0,5,99,0,44,0,0,0,18,66,8,5,3,0,0,0,0,0,0,0,0,0,0,0,2,0,2,11,29,1,414,0,198100
5,125,44,3,3,0,0,0,0,0,3,51,0,18,0,0,1,10,204,1,4,0,0,0,1,0,0,0,1,5,0,0,0,1,0,0,0,20,1,427,0,198100
10,332,8,4,3,0,0,0,0,0,2,28,0,5,1,0,0,1,12,1,0,0,1,0,0,0,0,1,0,252,0,0,0,0,0,0,6,6,1,494,0,198100
20,747,76,7,6,1,1,0,0,0,12,153,0,12,0,1,0,5,92,6,0,1,0,0,0,0,0,0,0,9,0,1,0,2,0,0,0,7,1,892,0,198100
30,898,91,7,24,1,2,0,1,1,3,50,1,21,0,0,0,3,39,9,1,7,0,2,0,0,0,0,0,56,0,0,1,2,2,0,0,28930,1,7974,0,198100
40,1049,51,15,2,0,1,0,0,0,7,46,0,18,0,0,0,3,17,4,3,2,1,0,0,0,0,0,0,171,0,0,0,0,0,0,1,1,1,896,0,198100
50,1200,77,3,11,0,0,0,0,0,0,31,1,24,1,0,0,8,110,8,3,0,6,0,11,1,1,0,0,90,0,0,0,2,0,0,0,2,1,2382,0,198100
60,1320,82,24,12,0,2,0,0,0,5,12,0,11,1,0,0,4,119,2,4,1,0,0,0,0,0,0,0,29,0,0,0,0,0,0,2,2,1,447,0,198100
70,1440,77,6,7,0,1,1,0,1,7,13,1,10,0,0,0,0,224,4,4,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1022,0,198100
80,1561,34,6,7,0,0,0,1,1,1,15,0,14,1,0,0,4,206,6,2,4,0,0,1,0,0,0,0,11,0,0,0,0,0,0,30,5,1,1233,0,198100
90,1681,146,4,6,0,0,0,0,0,3,10,1,8,0,0,0,4,160,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,1,400,0,198100
100,NA,118,19,6,0,2,0,0,0,1,42,0,23,0,0,0,16,81,0,2,0,0,0,0,0,0,0,0,5,0,0,0,5,0,3,5,0,1,271,0,198100
110,NA,126,5,5,0,0,0,0,0,6,13,1,9,0,2,0,1,226,2,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,1,362,0,198100
120,NA,57,10,2,0,0,0,0,0,0,8,0,5,0,0,0,1,219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,4,1,198,0,198100
130,NA,102,4,3,1,1,0,0,1,1,5,0,7,1,0,0,3,254,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,309,0,198100
135,NA,103,24,6,0,3,0,0,0,0,11,0,9,0,0,0,3,162,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,1,562,0,198100
