"sample.depths","sample.ages","upland.sum","Abies","Acer.rubrum","Acer.saccharum","Acer.undiff.","Alnus.incana","Alnus.viridis.subsp..crispa","Betula..small.","Betula.undiff.","Betulaceae.undiff.","Carya","Castanea","Celtis","Cephalanthus","Clethra","Cornus","Corylus","Cupressaceae","Ericaceae","Fagus","Fraxinus.americana","Fraxinus.nigra","Fraxinus.undiff.","Ilex","Juglans.cinerea","Juglans.nigra","Larix","Liquidambar","Morus","Myrica.Comptonia.peregrina","Nyssa","Ostrya.Carpinus","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Platanus","Populus","Quercus","Rhamnus.Vitis","Salix","Sambucus","Taxus","Tilia","Tsuga","Ulmus","Viburnum","Ambrosia","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Caryophyllaceae","Chenopodiaceae","Cyperaceae","Fabaceae","Galium","Humulus","Iva","Lamiaceae","Plantago","Poaceae.undiff.","Polygonaceae.undiff.","Polygonum","Ranunculaceae.undiff.","Rosaceae","Rumex","Thalictrum","Urtica","Zea"
40,230,1019,0,0,2,1,0,0,0,24,0,8,2,0,0,0,0,0,2,7,7,3,1,2,12,0,0,0,0,0,28,5,2,0,49,22,78,4,0,237,0,0,0,0,0,7,6,0,98,0,1,25,0,0,3,42,0,0,0,0,0,1,116,0,0,0,0,223,0,0,1
44,254,934,0,0,3,1,9,0,0,22,0,15,11,0,0,0,0,0,3,0,6,2,3,3,1,0,0,0,0,0,25,1,0,2,93,9,96,0,0,195,0,0,0,0,0,17,2,0,47,0,0,15,0,0,0,34,0,0,1,0,0,0,158,0,0,0,0,157,0,0,3
48,277,751,0,2,1,0,3,0,0,26,0,6,2,0,0,0,0,0,2,0,16,9,2,6,9,0,0,0,0,0,37,0,3,1,43,13,150,0,0,168,1,1,0,0,0,7,3,0,3,0,0,18,0,0,1,30,0,0,0,0,0,3,77,0,0,0,0,108,0,0,0
52,301,705,0,0,2,0,0,0,0,24,0,9,5,0,0,0,0,0,1,3,8,1,0,0,2,0,0,0,0,0,27,0,2,0,87,0,103,0,1,215,0,0,0,0,0,12,3,0,31,0,0,22,0,0,0,49,0,0,0,0,0,0,72,0,0,0,0,26,0,0,0
56,345,612,0,0,2,0,0,0,0,20,0,3,0,0,0,0,0,0,5,0,3,1,2,5,1,0,0,1,0,0,7,2,1,1,96,4,95,0,0,246,0,0,0,0,0,6,1,0,5,0,1,4,0,0,0,42,0,0,0,0,0,0,53,1,0,0,0,4,0,0,0
60,390,625,0,5,8,2,3,0,1,30,0,22,3,0,1,0,0,0,0,0,11,1,2,2,1,1,0,0,0,0,36,1,2,0,75,0,72,2,1,222,0,0,0,0,1,12,3,0,6,0,0,27,0,0,1,31,0,0,0,0,0,0,21,1,0,0,0,18,0,0,0
64,434,592,0,2,9,0,6,0,0,36,0,5,2,0,1,0,0,0,0,0,17,0,0,1,1,1,0,0,0,0,41,3,2,0,95,7,65,0,1,196,0,0,0,0,0,11,3,0,0,0,2,10,0,0,0,37,0,0,0,0,0,0,31,0,0,0,4,3,0,0,0
68,479,603,0,0,6,7,5,0,0,21,0,29,1,0,0,0,0,0,3,1,18,0,0,0,2,0,0,0,0,0,21,0,0,0,78,3,111,1,0,198,0,0,0,0,0,6,9,0,3,0,0,15,0,0,0,30,0,0,0,0,0,0,33,0,0,0,0,2,0,0,0
72,524,660,0,0,3,2,14,0,0,22,0,7,1,0,2,0,0,0,3,0,16,3,0,2,0,0,0,0,1,0,25,4,2,1,59,5,82,1,0,252,0,0,0,0,0,9,0,0,8,0,0,14,0,0,0,66,0,0,0,0,0,0,53,0,0,0,1,2,0,0,0
76,567,604,0,0,8,0,0,0,0,17,0,9,0,0,1,0,0,0,3,0,20,2,0,3,0,0,0,0,0,0,19,0,1,4,83,18,72,0,0,239,0,0,0,0,1,8,2,0,0,0,0,7,0,0,0,43,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0
80,606,576,0,0,4,0,3,0,0,28,0,9,2,0,0,0,0,0,1,0,17,0,1,0,0,0,0,0,0,0,19,0,0,2,94,5,99,0,0,195,0,1,0,0,0,26,6,0,0,0,0,7,1,0,0,31,0,0,0,0,0,0,24,0,0,0,0,0,1,0,0
84,644,599,0,0,4,1,0,0,0,33,0,9,0,0,0,0,0,0,1,0,21,5,0,3,3,0,0,0,0,0,16,0,6,0,69,3,105,0,0,207,0,1,0,0,0,17,2,0,4,0,1,11,0,0,0,37,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0
86,664,557,0,0,2,0,2,0,0,25,0,12,1,0,0,0,0,0,0,2,11,2,0,3,0,0,0,0,0,0,15,0,1,4,115,5,84,0,0,211,0,0,0,0,0,12,3,0,0,0,0,5,0,0,0,0,0,0,0,1,0,0,39,2,0,0,0,0,0,0,0
88,683,592,0,0,5,0,3,0,0,30,0,12,0,0,0,0,0,0,3,0,15,3,0,3,0,0,0,0,0,0,18,0,1,0,136,5,80,0,0,196,0,0,0,0,0,11,2,0,0,0,1,8,0,0,0,26,0,0,0,0,0,0,33,1,0,0,0,0,0,0,0
92,722,601,0,0,2,0,2,0,0,35,0,6,2,0,1,0,0,0,4,0,22,3,1,0,0,0,0,0,0,0,16,0,0,1,125,5,96,0,0,182,0,0,0,0,0,8,3,1,0,0,0,9,0,0,0,46,0,0,0,0,1,0,30,0,0,0,0,0,0,0,0
96,760,609,0,0,0,0,0,0,0,34,0,11,0,0,0,0,0,0,6,3,24,3,0,0,4,0,0,0,0,0,17,1,1,0,121,3,89,0,0,179,0,0,0,0,0,10,5,0,0,0,0,9,0,0,0,42,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0
100,799,636,0,1,2,1,1,0,0,22,0,6,2,0,0,0,0,0,0,2,14,2,0,0,1,0,0,0,0,0,19,1,2,0,106,7,122,2,0,205,0,0,0,0,0,11,5,0,0,0,0,11,0,0,0,52,0,0,0,0,0,0,37,0,0,0,0,2,0,0,0
104,837,549,0,1,2,2,1,0,0,19,0,5,2,0,0,0,0,1,2,0,19,0,1,1,1,0,0,0,0,0,11,1,0,0,96,1,131,1,0,194,0,0,0,0,0,11,1,0,1,0,1,4,0,0,0,15,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0
108,876,597,0,2,2,1,1,0,0,34,0,8,1,0,1,0,0,0,0,0,24,4,1,3,1,0,0,0,0,0,12,0,1,0,99,1,111,1,0,186,0,0,0,0,1,21,4,0,0,0,1,12,0,0,1,43,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0
112,915,668,0,0,2,3,1,0,0,44,0,10,1,0,1,0,0,1,3,2,17,4,0,0,0,0,0,0,0,0,11,0,2,1,81,1,116,2,0,213,0,0,0,0,0,22,4,0,0,0,3,7,0,0,1,57,0,0,0,0,0,0,55,1,0,0,0,2,0,0,0
116,953,593,0,0,4,0,2,0,0,27,0,15,3,0,0,0,0,0,1,0,16,2,2,1,0,0,1,0,1,0,14,0,0,0,107,4,119,2,0,157,0,0,0,0,0,24,1,0,1,0,0,5,0,0,0,39,0,0,0,0,1,0,43,0,0,0,0,0,1,0,0
120,992,594,0,1,0,0,2,0,0,21,0,6,0,0,2,0,0,0,3,1,20,1,0,1,0,0,0,0,0,0,8,0,5,0,76,1,100,1,0,258,0,0,0,0,0,6,2,0,1,0,0,4,0,0,0,42,0,0,0,0,0,0,31,1,0,0,0,0,0,0,0
124,1084,583,0,0,2,3,1,0,0,15,0,16,7,0,0,0,0,0,2,3,14,8,0,4,0,0,0,0,0,0,37,0,0,0,44,4,96,0,0,244,0,0,0,0,0,7,1,1,2,0,3,2,0,0,0,34,0,0,0,0,0,0,32,0,0,0,0,1,0,0,0
128,1195,601,0,0,0,2,0,0,0,27,0,15,7,0,0,0,0,0,1,0,13,4,0,2,0,0,0,2,0,0,31,0,0,0,42,0,91,3,0,262,0,0,0,0,0,15,0,0,1,0,0,12,0,0,0,41,0,0,0,0,0,0,29,0,0,0,0,1,0,0,0
132,1305,650,0,0,1,1,0,0,0,19,0,3,4,0,1,0,0,0,2,1,14,5,0,1,0,0,0,0,0,0,23,0,0,1,63,2,101,0,0,247,0,0,0,0,0,23,0,0,0,0,2,11,0,0,0,78,0,0,0,0,0,0,46,1,0,0,0,0,0,0,0
136,1416,633,0,0,0,2,2,0,0,39,0,5,0,0,0,0,0,1,4,1,19,6,1,0,0,1,0,0,0,0,31,1,1,1,39,7,85,0,0,267,0,0,0,0,0,9,0,0,1,0,1,22,0,0,1,49,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0
140,1526,647,0,1,0,2,4,0,0,46,0,3,2,0,0,0,0,0,0,1,18,0,0,1,0,0,0,0,0,0,21,0,0,0,80,4,99,1,0,221,0,0,0,0,0,11,3,0,0,0,0,13,0,0,0,59,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0
144,1637,641,0,0,1,2,2,0,1,29,0,3,3,0,0,0,0,1,2,0,21,4,0,3,1,1,0,0,0,0,24,0,1,0,67,4,115,1,0,218,0,0,0,0,0,11,0,0,0,0,0,3,0,0,0,87,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0
148,1747,612,0,3,0,1,4,0,0,41,0,9,4,0,0,0,0,0,1,0,22,2,0,2,1,1,0,1,0,0,21,0,0,0,62,0,71,0,0,261,0,0,0,0,1,3,1,0,0,0,0,6,0,0,0,41,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0
152,1857,630,0,0,1,0,5,0,0,35,0,15,2,0,0,0,0,1,0,0,19,1,0,1,0,0,0,1,0,0,18,0,2,1,63,3,84,2,0,257,0,0,0,0,0,12,0,0,1,0,0,11,0,0,0,46,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0
156,1968,613,0,0,7,2,0,0,0,22,0,7,1,0,0,0,0,0,1,0,21,1,0,1,0,0,0,0,0,0,16,0,0,0,58,3,99,0,0,261,0,0,0,0,0,19,2,0,2,0,0,13,0,0,0,42,0,0,0,0,1,0,34,0,0,0,0,0,0,0,0
160,2078,660,0,0,3,0,5,0,0,19,0,9,0,0,0,0,0,0,0,0,18,3,0,0,0,0,0,0,0,0,31,0,0,0,37,2,73,2,0,291,0,0,0,0,1,32,2,0,0,0,0,19,0,0,0,72,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0
164,2189,663,0,0,3,0,0,0,0,58,0,2,2,0,0,0,0,0,0,0,10,9,0,0,0,0,0,0,0,0,21,0,0,0,53,0,78,1,0,278,0,0,0,0,0,7,2,0,1,0,0,6,0,0,0,69,0,0,0,0,1,0,62,0,0,0,0,0,0,0,0
168,2299,697,0,1,7,1,4,0,0,20,0,9,0,0,0,0,0,0,0,0,29,2,7,0,0,0,0,0,0,0,35,1,1,0,56,0,39,2,1,293,0,2,0,0,0,10,2,0,0,0,0,30,0,0,0,79,0,0,0,0,1,0,65,0,0,0,0,0,0,0,0
172,2390,621,0,2,1,0,6,0,0,28,0,15,2,0,0,0,0,0,0,0,25,4,0,0,4,3,0,0,0,0,27,1,1,1,39,1,82,2,0,249,0,0,0,0,0,8,5,0,0,0,0,15,0,0,0,46,0,0,0,0,0,0,53,1,0,0,0,0,0,0,0
176,2424,675,0,2,0,0,4,0,0,25,0,4,1,0,2,0,0,1,0,0,13,5,0,0,1,1,0,0,0,0,13,1,0,0,39,12,76,2,0,295,0,0,0,0,1,11,2,0,0,0,0,6,0,0,1,95,0,0,0,0,0,0,61,0,0,0,0,1,0,0,0
180,2457,707,0,0,2,1,4,0,0,37,0,5,0,0,0,0,0,0,3,1,18,2,0,1,6,0,0,1,1,0,29,1,0,0,54,6,86,2,0,266,0,0,0,0,0,0,3,0,0,0,0,19,0,0,0,89,0,0,0,0,0,0,68,2,0,0,0,0,0,0,0
184,2490,700,0,0,2,0,7,0,0,26,3,6,4,0,1,0,0,0,1,0,13,4,0,2,2,0,0,0,1,0,22,0,0,0,38,11,63,1,0,293,0,0,0,0,0,13,6,0,0,0,3,21,0,0,0,83,0,0,0,0,0,0,74,0,0,0,0,0,0,0,0
188,2523,678,1,0,2,1,0,0,1,19,2,4,4,0,4,0,0,0,0,0,14,7,2,2,7,0,1,0,0,0,27,0,0,0,39,0,104,5,0,284,0,0,0,0,0,7,0,0,2,0,0,11,0,0,0,82,0,0,0,0,0,0,45,1,0,0,0,0,0,0,0
192,2557,708,0,1,2,0,0,0,0,18,3,2,3,0,3,0,0,0,0,2,24,7,0,0,2,0,0,0,0,0,33,1,5,0,53,0,69,4,0,278,0,0,0,0,1,17,2,0,0,0,0,6,0,0,0,107,0,0,0,0,0,0,63,2,0,0,0,0,0,0,0
196,2590,658,0,0,0,0,4,0,0,38,2,6,0,0,2,0,0,0,0,1,31,3,4,3,2,0,0,0,1,0,29,1,6,0,23,4,40,1,0,280,0,0,0,0,0,18,1,0,1,0,0,19,0,0,0,86,0,0,0,0,0,0,51,1,0,0,0,0,0,0,0
200,NA,652,0,4,1,0,0,0,0,27,0,3,1,0,0,0,0,0,0,1,35,0,2,5,2,0,0,0,0,0,210,0,0,0,23,0,43,0,0,148,0,0,0,0,0,8,3,0,1,0,1,12,0,0,0,85,0,0,0,0,0,0,36,1,0,0,0,0,0,0,0
