"sample.depths","sample.ages","Abies","Acer.negundo","Acer.rubrum","Acer.saccharum","Alnus.incana","Alnus.viridis.subsp..crispa","Betula","Carya","Celtis","Cornus","Corylus","Cupressaceae","Elaeagnus","Ephedra","Ericaceae","Fagus","Fraxinus","Juglans","Larix","Lonicera.type","Myrica","Ostrya.Carpinus","Picea.cf..P..glauca","Picea.mariana","Picea.undiff.","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Populus","Quercus","Salix","Tilia","Tsuga","Ulmus","Vitis.riparia","Ambrosia.type","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Asteraceae.undiff.","Brassicaceae","Caryophyllaceae.undiff.","Chenopodiaceae","Cyperaceae","Echinocystis.lobata","Fabaceae","Galium","Mentha.type","Plantago","Poaceae","Polygonum","Ranunculaceae.undiff.","Rosaceae","Rumex","Spergula.type","Thalictrum","Diphasiastrum.complanatum","Equisetum","Lycopodium.annotinum","Lycopodium.clavatum","Pediastrum","Sphagnum","Elodea","Myriophyllum","Potamogeton","Sagittaria","Sparganium","Typha","Spore..monolete.","Spore..trilete.","Indeterminable..degraded.","Indeterminable.undiff.","Unknown"
10.5,-7,0,7,1,2,3,4,18,0,0,1,0,5,0,0,0,0,8,0,0,0,0,0,0,8,4,3,67,18,0,116,13,1,0,42,0,42,3,29,2,1,1,10,1,26,65,0,0,0,0,0,45,0,0,2,1,0,0,0,1,0,0,22,0,0,4,3,0,34,12,0,5,17,11,1
11.5,-3,3,5,0,0,9,1,21,0,0,2,4,3,0,0,0,0,13,0,0,1,0,3,1,15,2,2,76,13,0,126,8,3,0,50,0,34,1,33,6,2,0,7,0,31,46,1,0,0,0,0,42,0,0,2,2,3,1,0,1,0,0,13,1,0,9,1,2,24,9,0,1,7,6,0
12.5,1,1,10,0,3,7,5,23,0,0,0,0,0,0,0,0,0,14,0,0,0,0,1,0,19,6,1,76,21,0,88,7,2,0,53,0,54,1,15,3,0,0,5,0,35,40,0,1,1,0,0,51,0,3,7,4,4,0,0,0,0,0,12,1,0,7,8,1,41,15,0,0,3,9,1
13.5,5,1,5,0,0,3,3,15,1,0,0,1,0,0,0,2,0,13,0,0,0,0,0,0,22,7,6,91,15,1,111,14,2,0,38,0,63,0,18,4,1,0,7,0,46,46,0,0,0,0,0,52,0,0,0,1,0,0,0,0,0,1,15,0,0,10,0,2,36,8,0,2,3,11,0
14.5,9,3,2,0,0,6,1,17,0,0,0,1,0,0,0,0,0,6,0,0,0,0,0,0,16,9,1,80,11,0,110,7,0,0,43,0,53,0,25,7,2,0,3,0,42,57,0,0,0,0,0,55,0,0,0,2,0,0,0,0,0,0,9,0,0,8,1,1,28,16,0,0,3,12,0
15.5,12,1,3,0,1,1,1,18,0,0,0,5,1,0,1,0,1,10,0,2,0,0,0,0,22,0,2,67,10,0,140,3,1,0,30,0,34,0,17,1,2,0,3,0,31,51,0,1,0,0,0,48,0,1,1,0,0,1,0,0,1,0,4,0,0,6,0,0,25,10,0,3,2,5,1
16.5,16,0,8,1,0,12,1,20,0,0,0,2,1,0,0,0,0,11,0,0,0,0,0,0,16,6,1,78,13,2,128,8,0,0,39,0,43,0,28,11,4,0,5,0,37,43,0,0,0,0,0,56,0,0,2,0,2,0,0,0,0,0,13,1,0,15,0,1,34,15,0,2,7,7,0
17.5,20,1,8,0,0,13,3,26,0,1,0,5,2,0,0,0,0,10,1,0,0,0,0,2,11,2,3,76,10,2,113,7,2,0,56,0,70,0,23,8,2,0,7,0,24,55,0,0,0,0,0,55,2,1,2,0,1,0,0,0,0,0,21,0,0,9,0,3,51,8,0,0,4,7,1
18.5,24,0,7,0,0,14,1,16,0,0,1,5,0,0,0,0,0,8,0,0,0,0,0,0,6,5,0,86,19,0,121,12,2,0,42,0,59,0,18,2,2,0,6,0,27,52,0,1,0,0,0,55,1,0,2,1,1,0,0,0,0,0,16,1,0,11,0,2,41,12,0,2,7,5,0
19.5,28,0,3,0,1,9,1,12,0,0,0,2,0,0,0,0,0,16,0,0,0,0,0,1,11,9,1,81,12,0,118,7,2,1,40,0,72,1,31,1,2,0,2,0,50,37,0,0,0,0,1,47,0,0,0,0,0,0,0,0,0,0,35,0,0,9,0,1,38,12,0,1,2,3,0
20.5,32,0,4,0,0,8,1,17,0,0,0,1,0,0,1,0,0,9,0,0,0,0,0,0,9,6,1,80,11,0,116,6,1,0,41,0,58,0,29,3,6,0,7,0,35,21,0,0,0,0,1,55,0,1,4,1,0,0,0,0,0,1,20,0,1,12,1,0,35,12,0,1,0,17,0
21.5,36,0,5,0,2,8,2,8,0,0,0,1,1,0,0,0,0,12,0,0,0,0,0,1,14,3,1,79,19,0,90,8,0,0,33,0,76,0,21,3,4,0,6,0,33,39,0,0,0,0,0,63,1,0,0,0,0,1,0,0,1,0,28,0,0,8,1,1,39,8,0,3,4,2,1
22.5,40,1,3,0,2,12,1,13,0,0,0,1,0,0,0,0,0,11,0,0,0,0,0,0,18,1,1,91,17,1,89,9,1,0,32,0,66,1,23,3,4,0,11,0,39,42,0,0,1,0,0,44,0,1,0,1,0,0,0,0,0,0,21,0,0,8,1,1,32,7,0,2,3,9,3
23.5,44,0,7,0,0,13,1,18,0,0,0,0,0,0,0,0,0,7,0,0,0,0,1,0,18,8,2,81,24,1,86,8,0,0,41,0,73,0,21,7,2,0,4,0,44,40,0,0,0,0,0,54,1,0,4,0,2,1,0,0,0,0,29,0,0,8,2,4,25,17,0,2,11,13,2
24.5,48,0,2,0,1,15,5,13,0,0,0,1,0,0,1,0,0,11,0,0,0,0,0,2,19,9,1,78,20,0,98,10,0,0,32,0,64,0,23,6,2,1,8,0,42,44,0,0,0,0,0,50,0,4,1,0,1,2,0,0,0,0,12,0,0,9,0,2,27,12,1,3,7,3,1
25.5,52,0,4,0,0,11,4,22,0,0,0,3,0,0,1,0,1,11,0,0,0,0,1,0,18,2,2,65,12,0,99,14,1,0,35,0,63,2,32,10,7,0,6,0,33,56,0,1,0,0,0,62,0,0,4,0,0,0,0,0,0,1,41,1,1,7,0,0,16,17,0,3,0,11,4
26.5,56,0,5,0,0,11,4,3,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,0,4,9,3,29,7,0,55,7,1,0,16,0,43,2,20,4,2,0,4,0,15,39,1,0,0,0,2,38,0,0,1,0,1,0,0,0,0,0,78,0,0,8,2,0,10,7,0,0,3,6,1
27.5,60,1,4,1,2,10,13,24,0,0,1,3,0,0,0,0,0,8,1,0,0,0,1,2,23,10,4,72,21,0,61,5,0,0,19,0,74,1,26,10,4,0,4,1,25,52,0,0,0,0,1,73,0,0,0,0,2,0,0,0,1,0,56,0,0,6,1,0,29,16,0,0,0,8,0
28.5,63,0,4,0,0,7,2,12,0,0,3,3,0,0,0,0,0,7,0,0,0,0,2,0,7,10,1,30,8,0,37,11,0,0,16,0,66,1,21,3,3,0,3,0,15,27,0,0,0,0,1,43,0,1,1,0,0,0,0,0,0,1,46,1,0,6,1,3,5,11,1,2,6,7,0
29.5,67,0,6,0,3,17,1,16,0,0,3,2,0,0,1,0,0,6,0,0,0,0,0,1,20,12,4,65,20,1,82,10,1,0,27,0,79,0,37,15,1,1,2,0,24,50,0,0,1,0,0,77,0,2,1,1,0,3,0,0,0,0,16,1,1,13,0,0,13,11,0,0,1,14,1
35.25,NA,0,1,0,0,6,3,21,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,1,18,7,0,93,19,0,56,7,1,0,28,0,12,0,18,4,0,0,0,0,11,54,1,0,0,0,0,31,0,0,1,0,0,1,0,0,0,0,11,0,0,8,1,1,15,13,1,1,5,2,0
40.75,NA,1,4,0,0,9,5,25,0,0,1,8,1,0,0,1,0,5,0,0,1,0,4,0,21,10,2,91,27,1,115,18,3,0,24,0,27,2,41,17,0,0,0,0,13,54,1,0,0,0,0,34,1,0,2,0,0,2,0,0,0,0,38,0,0,20,0,4,31,10,0,1,0,13,0
50.75,NA,0,3,0,0,6,4,24,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,2,26,4,5,44,6,0,98,9,0,0,28,0,22,0,22,6,0,0,0,1,11,35,0,0,0,0,0,32,0,1,2,0,0,0,0,0,0,0,35,1,0,16,0,1,18,6,0,8,7,10,1
63,1459,0,0,0,1,9,7,15,0,0,0,3,1,0,0,0,0,4,0,0,0,0,1,1,7,1,3,49,8,0,88,8,2,0,16,0,37,0,41,3,2,0,0,1,16,37,0,1,0,0,0,30,0,1,1,1,0,0,0,0,0,0,11,1,0,12,1,1,21,1,1,0,0,24,0
