"sample.depths","sample.ages","Abies","Acer.rubrum","Acer.saccharum","Acer.undiff.","Alnus.incana","Alnus.viridis.subsp..crispa","Betula..small.","Betula.undiff.","Betulaceae.undiff.","Carya","Castanea","Celtis","Cephalanthus","Clethra","Cornus","Corylus","Cupressaceae","Ericaceae","Fagus","Fraxinus.nigra","Fraxinus.pennsylvanica.F..americana.type","Fraxinus.undiff.","Ilex","Juglans.cinerea","Juglans.nigra","Larix","Liquidambar","Morus","Myrica.Comptonia.peregrina","Nyssa","Ostrya.Carpinus","Other.shrubs","Other.trees","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Platanus","Populus","Quercus","Rhamnus.Vitis","Salix","Sambucus","Taxus","Tilia","Tsuga","Ulmus","Viburnum","Ambrosia","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Caryophyllaceae","Chenopodiaceae","Cyperaceae","Fabaceae","Galium","Humulus","Iva","Other.herbs","Plantago","Poaceae.undiff.","Polygonaceae.undiff.","Polygonum.bistortoides","Ranunculaceae.undiff.","Rosaceae","Rumex","Secale","Thalictrum","Urtica","Zea","Botrychium","Dennstaedtia","Huperzia.lucidula","Lycopodium.annotinum","Lycopodium.clavatum","Lycopodium.undiff.","Osmunda","Pteridium","Pteridophyta.undiff.","Woodsia","Sphagnum","Aquatics.undiff.","Brasenia.schreberi","Isoëtes","Myriophyllum","Nuphar","Nymphaea","Potamogeton","Typha","Spore..monolete.","Spore..trilete.","Indeterminable..broken.","Indeterminable..corroded.","Indeterminable..crumpled.","Indeterminable..hidden.","Unknown"
80,792,0,4,14,0,8,0,0,42,4,23,0,0,4,1,0,1,2,1,26,2,3,1,3,2,0,0,0,0,20,0,11,0,0,6,2,0,76,0,0,238,0,0,0,0,0,24,6,0,1,0,1,8,0,0,0,14,0,0,0,1,0,1,14,1,0,0,1,4,0,1,0,0,0,0,0,0,0,1,1,8,3,0,0,6,52,0,2,0,24,3,5,5,2,7,3,6,7,4
88,885,0,0,6,0,3,0,0,31,3,19,1,0,3,0,0,1,2,1,11,5,3,4,0,1,0,0,0,0,22,1,4,0,0,0,9,5,74,0,0,292,0,0,0,0,0,35,3,0,1,0,0,7,0,0,1,46,0,0,0,0,0,0,14,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,7,0,0,0,12,40,0,0,1,22,1,4,4,0,0,0,0,4,5
96,985,0,3,8,0,6,0,0,38,5,12,0,0,5,0,0,1,2,2,15,1,9,0,4,0,0,0,0,0,24,3,7,0,0,4,16,4,110,0,1,332,0,0,0,0,0,29,5,0,2,0,0,17,0,0,1,41,1,0,0,1,0,0,19,0,0,0,2,0,0,0,0,0,0,1,1,0,0,5,5,24,1,0,0,7,50,1,0,0,37,5,6,12,0,4,5,15,21,8
104,1109,0,1,3,0,6,0,0,42,3,21,2,0,3,0,0,0,0,3,13,2,3,1,1,1,0,0,0,0,12,4,3,0,0,0,2,0,90,0,0,291,0,0,0,0,0,25,7,0,3,0,0,16,0,0,0,31,1,0,0,0,0,0,15,1,0,0,0,2,0,0,0,0,0,1,0,0,0,2,0,11,0,0,0,7,49,0,1,0,46,0,1,0,2,0,1,5,1,3
112,1271,0,1,9,0,5,0,0,40,6,20,0,0,2,0,0,1,1,0,24,1,1,1,0,1,0,0,0,0,20,1,2,0,0,2,1,0,92,0,0,255,0,0,0,0,0,29,8,0,2,0,1,14,0,0,1,19,0,0,0,1,0,2,17,3,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,6,30,0,1,0,23,0,0,1,1,0,1,1,1,1
120,1433,0,4,6,0,4,0,0,48,1,17,3,0,2,0,0,2,1,2,16,1,2,3,1,0,0,0,0,0,11,1,0,0,0,0,5,1,54,1,0,301,0,0,0,0,0,13,6,0,3,0,1,3,0,0,1,49,5,0,0,1,0,0,24,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,3,1,0,0,3,34,0,11,2,34,3,9,6,3,0,2,6,1,13
128,1595,0,2,3,0,3,0,0,34,16,7,0,0,4,0,0,2,1,2,14,7,1,5,3,0,0,0,0,1,30,3,11,0,0,1,2,3,36,0,0,309,0,1,0,0,2,29,2,0,2,0,0,22,0,0,0,44,0,1,0,3,0,0,19,1,0,0,1,0,0,0,0,0,0,2,0,0,0,1,0,1,2,0,0,13,33,0,9,0,24,2,6,2,5,7,7,12,0,4
136,1757,0,0,8,0,2,0,0,41,9,14,0,0,4,1,0,2,1,0,19,2,5,1,3,0,0,0,0,0,17,3,3,0,0,1,3,2,48,2,0,308,0,0,0,0,0,30,5,0,4,0,0,19,0,0,0,71,0,0,0,2,2,0,34,0,0,0,0,0,0,3,0,0,0,1,0,0,0,1,3,3,0,0,0,19,62,1,1,0,24,1,2,3,9,0,1,2,0,3
144,1919,0,1,7,0,6,0,0,50,8,10,1,0,6,0,0,1,3,1,22,0,4,0,2,1,0,0,0,1,28,3,4,0,0,1,2,2,47,1,0,283,0,0,0,0,1,23,4,0,1,0,0,10,0,0,0,64,1,0,0,1,2,0,37,2,0,0,2,0,0,1,0,0,0,0,1,0,0,2,0,0,0,0,0,8,52,0,0,0,33,0,1,11,6,0,5,7,2,2
152,NA,0,0,7,0,6,0,0,47,10,12,2,0,0,0,0,0,3,0,14,0,1,1,5,4,1,0,0,0,17,1,4,1,0,1,2,1,38,1,0,323,0,0,0,0,1,17,0,0,1,0,1,18,0,0,1,39,3,0,0,1,0,0,40,1,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,6,42,2,0,0,38,0,5,10,3,2,1,3,2,3
160,NA,0,2,8,0,5,0,0,44,7,18,1,0,4,1,0,2,0,2,18,1,3,0,0,1,0,0,0,0,18,0,1,3,0,1,1,3,62,2,0,297,0,1,0,0,0,27,3,0,0,0,3,20,0,0,2,54,0,0,0,0,0,0,39,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,8,42,0,1,0,48,1,5,7,5,1,2,4,1,4
168,NA,0,0,4,0,7,0,0,46,7,3,0,0,4,0,0,0,2,0,22,1,6,1,0,1,0,0,0,0,16,2,4,3,0,0,0,1,60,2,0,314,1,0,0,0,0,13,7,0,0,0,1,18,0,0,0,36,0,0,0,1,0,0,46,3,0,0,0,0,0,1,0,0,0,2,0,0,0,1,0,1,0,0,1,17,47,0,2,0,41,0,2,4,3,2,1,0,0,2
176,NA,0,0,3,0,11,0,0,44,11,8,0,0,5,0,0,0,0,0,6,3,1,0,3,3,0,0,1,0,13,5,3,2,0,1,0,2,60,0,1,349,0,0,0,0,1,12,2,0,1,0,3,15,0,0,0,30,1,0,0,0,0,0,54,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,4,40,0,0,0,49,0,3,6,11,1,1,2,0,5
