"sample.depths","sample.ages","upland.sum","Abies.balsamea","Abies.undiff.","Acer.negundo","Acer.nigrum","Acer.rubrum","Acer.saccharinum","Acer.saccharum","Acer.spicatum","Acer.undiff.","Alnus.incana","Alnus.undiff.","Alnus.viridis.subsp..crispa","Andromeda","Arctostaphylos","Betula","Carya","Castanea","Celtis","Cephalanthus","Cornus.canadensis","Cornus.sericea","Cornus.suecica","Corylus","Cupressaceae","Elaeagnus","Empetrum.type","Ephedra","Ericaceae.undiff.","Fagus","Fraxinus.nigra","Fraxinus.pennsylvanica","Hippophae.rhamnoides","Ilex","Juglans","Larix","Ledum","Liquidambar","Morus","Myrica","Ostrya","Picea","Pinus.banksiana.P..resinosa","Pinus.strobus","Pinus.undiff.","Platanus","Populus.balsamifera","Populus.tremuloides","Prunus","Quercus","Rhus","Ribes.undiff.","Ribes.aureum","Rubus","Salix","Sambucus","Shepherdia.canadensis","Sorbus","Taxus","Tilia","Tsuga.canadensis","Ulmus","Vaccinium.type","Viburnum","Allium","Ambrosia","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Asteraceae.undiff.","Astragalus","Brassicaceae","Campanulaceae","Caryophyllaceae.undiff.","Chenopodiaceae","Convolvulus","Cyperaceae.undiff.","Dipsacaceae","Dryas","Epilobium.latifolium","Euphorbiaceae","Fabaceae.undiff.","Fragaria","Galium","Gentianaceae","Geum","Humulus","Hypericum","Iris","Iva","Juncaceae","Lamiaceae.undiff.","Liliaceae","Linum","Lotus","Lysimachia","Moneses.uniflora","Oenothera","Oxalis","Papaver.argemone","Parnassia","Plantago","Poaceae","Polygonaceae.undiff.","Polygonum.aviculare.type","Polygonum.viviparum.type","Polygonum.type","Potentilla","Ranunculaceae.undiff.","Rosaceae.undiff.","Rumex.acetosa","Rumex.type.undiff.","Rumex.Oxyria.digyna.undiff.","Sanguisorba","Saxifraga.cernua","Saxifraga.stellaris","Saxifragaceae.undiff.","Scrophularia","Solanum","Spergula","Stachys","Thalictrum","Trientalis","Urtica"
430,NA,538,6,6,1,4,1,0,0,0,6,14,0,18,0,0,88,1,0,0,0,1,1,0,13,37,0,0,0,2,0,8,0,0,0,0,1,0,0,0,40,20,88,14,21,34,0,9,15,0,24,0,0,0,0,12,0,0,0,0,0,1,8,0,0,0,0,1,0,17,0,0,0,1,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
431,NA,596,5,8,0,0,1,0,0,0,3,5,0,20,0,0,91,1,0,0,0,1,5,0,7,90,0,1,0,13,0,5,1,0,0,1,0,0,0,0,32,2,39,17,27,20,0,65,17,0,15,0,0,0,0,29,2,0,0,0,0,2,5,3,0,0,0,0,3,7,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,1,9,0,0,0,0,0,0,0,0,0,0,0,1,0,0
432,NA,591,18,20,0,0,3,0,0,0,5,2,0,19,0,0,59,0,1,0,0,0,1,0,13,86,0,0,0,9,0,5,2,0,0,0,0,0,0,1,41,5,54,9,20,18,1,63,11,0,16,0,0,0,0,27,2,0,0,0,0,0,4,4,0,0,1,0,4,12,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,1,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
433,NA,642,0,0,0,0,2,0,0,0,2,3,0,36,0,0,88,0,0,1,0,0,2,0,12,113,0,0,0,12,2,15,1,0,0,0,0,0,0,0,44,5,70,22,11,14,2,47,10,0,13,0,0,0,0,14,3,0,0,0,0,3,5,6,0,0,0,1,4,9,0,0,0,0,0,1,0,0,26,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,1,20,1,2,0,0,0,0,0,0,0,0,0,0,0,2
434,11415,490,0,0,0,0,0,0,0,0,0,2,0,18,0,0,68,0,0,0,0,0,3,0,8,87,0,0,0,5,0,6,1,0,0,1,0,0,0,0,35,5,40,10,7,10,0,61,12,0,8,0,0,0,0,27,2,0,0,0,0,1,6,3,0,0,0,0,3,10,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,3
435,11609,671,1,1,0,0,0,0,1,0,1,17,0,7,0,0,148,0,2,0,0,0,8,0,6,72,0,0,1,13,1,13,0,0,0,0,0,0,0,0,78,0,30,6,19,10,0,61,38,0,17,0,0,0,2,41,0,0,0,0,0,3,2,0,0,0,0,1,0,18,0,0,0,3,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,1,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0
436,11686,504,2,3,0,0,0,0,0,0,0,5,0,10,0,0,115,1,0,0,0,0,0,0,13,73,0,1,0,21,0,5,2,0,0,1,1,0,0,0,47,3,18,24,9,8,0,14,16,0,4,0,0,0,0,26,2,0,0,1,0,4,0,4,0,0,0,0,0,14,0,0,0,2,0,1,0,0,23,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,7,1,2,0,0,0,0,4,0,0,0,0,1,0,3
437,11763,493,1,2,0,0,0,0,0,0,0,2,1,24,0,0,131,0,0,0,0,0,0,0,12,57,0,0,0,58,0,0,0,0,0,0,1,0,0,0,9,2,33,7,2,26,0,6,4,0,1,0,0,0,0,11,1,0,0,0,0,1,1,0,0,0,0,0,0,14,0,0,0,3,0,1,1,0,39,0,0,4,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,5,0,0,0,0,0,0,4,0,0,0,0,0,0,2
438,11840,536,1,2,0,0,0,0,0,0,0,0,1,26,0,0,157,0,0,0,0,0,0,0,22,104,0,0,0,10,0,5,0,0,0,0,3,0,0,0,33,3,31,15,7,10,0,4,10,0,2,0,0,0,0,22,0,0,0,0,0,0,1,0,0,0,0,0,2,8,0,0,0,3,0,0,2,0,30,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,5,0,0,0,0,0,0,2,0,0,0,0,1,0,1
439,11917,832,3,4,0,0,0,0,0,0,0,2,3,32,0,0,307,1,1,0,0,1,0,0,21,138,0,0,0,16,0,3,0,0,0,0,3,0,0,0,58,7,48,32,5,13,0,4,7,0,6,0,0,0,0,29,0,0,0,0,0,0,1,2,0,0,0,0,4,6,2,0,0,5,0,1,0,0,38,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,2,2,5,1,3,2,0,0,0,2,0,0,0,0,0,0,3
440,11994,473,0,0,0,0,0,0,1,0,1,16,0,11,0,2,197,0,0,0,0,0,0,0,0,54,1,0,0,10,1,1,0,0,0,0,0,0,0,0,15,2,30,17,3,18,0,0,2,0,0,0,0,0,0,29,0,0,0,0,0,3,0,0,0,0,1,1,0,11,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0
441,12071,654,8,10,0,0,0,0,0,0,0,7,0,35,0,0,230,0,0,1,0,0,0,0,11,34,0,2,0,22,0,0,0,0,0,0,0,1,0,0,13,6,60,33,5,16,0,2,3,0,2,0,0,0,0,26,1,0,0,0,0,0,5,10,0,0,0,0,3,17,0,0,0,3,0,0,0,0,59,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14,0,0,0,1,0,0,3,0,0,0,0,0,0,1,0,0,0,2,0,0,2
442,12148,683,10,12,1,0,0,0,0,0,1,6,0,27,0,0,242,0,0,0,0,0,0,0,18,34,0,0,0,29,0,1,3,0,0,0,0,1,0,0,11,8,54,34,5,13,0,0,0,2,2,0,0,0,0,29,1,0,0,0,0,1,4,11,0,0,0,0,2,11,4,0,0,4,1,1,1,0,52,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8,0,0,0,0,0,0,10,0,2,1,0,0,0,5,0,0,0,0,2,0,6
443.5,12247,762,8,9,0,0,0,0,0,0,0,24,1,18,0,0,290,0,2,0,0,0,0,0,8,43,0,1,0,22,0,2,2,0,0,3,0,1,0,1,8,11,66,34,7,12,0,2,1,0,1,0,0,0,0,31,2,1,0,0,0,2,3,12,0,0,0,0,7,10,2,0,0,1,0,0,1,0,70,0,1,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,11,0,1,0,1,0,0,2,0,0,0,0,2,0,7
444,12277,734,10,14,0,0,0,0,0,0,0,3,9,7,0,0,178,1,0,0,0,1,0,0,16,73,0,0,0,45,0,0,1,0,0,0,1,0,0,0,9,18,38,18,6,30,0,14,8,0,0,0,0,0,0,48,3,1,0,0,0,1,1,0,0,0,1,0,6,16,0,0,0,5,1,0,0,0,76,0,0,2,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,2,33,0,0,0,0,0,0,4,0,0,0,0,4,0,12
444.5,12308,491,11,18,0,0,0,0,0,0,0,1,4,5,0,0,161,0,0,0,0,0,1,0,3,32,0,0,0,31,0,0,1,0,0,0,0,0,0,0,5,15,34,15,1,21,0,5,0,0,3,0,0,0,0,30,1,0,0,0,0,1,4,0,0,0,1,0,2,8,1,0,0,2,0,0,0,0,45,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,13,0,1,0,0,0,0,1,0,0,0,0,0,0,7
445,12338,717,42,60,0,0,0,0,0,0,0,3,4,14,0,0,159,1,0,0,0,0,0,0,6,45,0,0,0,54,1,0,4,0,0,0,2,0,0,0,2,13,74,18,2,34,0,3,7,0,2,0,0,0,0,38,0,0,0,0,0,1,1,0,0,0,0,0,5,12,0,0,0,3,1,0,0,0,66,0,0,3,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,1,0,0,20,0,2,0,0,0,0,1,0,0,0,0,0,0,2
445.5,12369,523,19,24,0,0,0,0,0,0,0,1,2,18,0,0,117,1,0,0,0,0,0,0,6,37,0,0,0,42,0,0,2,0,0,0,2,0,0,0,2,9,76,15,1,20,0,7,11,0,1,0,0,0,0,26,1,0,0,0,0,0,1,1,0,0,0,0,3,6,1,0,0,3,0,1,0,0,42,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,1,0,12,0,3,0,0,0,0,1,0,0,0,0,1,0,1
446,12399,563,16,22,0,0,0,0,0,0,0,1,2,5,0,0,96,0,0,0,0,0,0,0,10,34,0,0,0,36,0,0,4,0,1,2,7,0,0,1,2,10,93,20,0,20,0,5,4,0,0,0,0,0,0,39,1,0,0,0,0,1,2,2,0,0,2,0,2,13,0,0,0,0,1,2,0,0,52,0,0,2,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,1,0,0,20,0,2,0,0,0,0,3,0,0,0,0,4,0,4
446.5,12430,525,24,34,0,0,0,0,0,0,0,3,3,6,0,0,77,0,0,0,0,0,0,0,12,50,0,0,0,26,1,2,0,0,0,1,1,0,0,0,3,15,78,16,0,19,0,4,7,1,0,0,0,0,0,24,2,0,0,0,0,0,3,2,0,0,2,1,4,14,0,0,0,1,0,1,0,0,34,0,0,1,0,1,0,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,2,0,0,0,0,0,13,1,5,2,0,0,0,5,0,0,0,0,0,0,8
447,12460,583,23,30,0,0,0,0,0,0,0,10,6,13,0,1,145,0,0,0,0,0,0,0,14,22,0,0,0,32,0,0,0,0,0,0,1,0,0,2,9,9,55,24,2,26,0,3,4,1,0,0,0,0,0,28,2,1,0,0,0,1,2,7,0,0,0,1,4,13,0,0,0,0,2,1,0,0,48,0,0,1,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,1,11,1,4,0,0,0,0,2,0,0,0,0,3,0,1
447.5,12491,914,15,18,0,0,0,0,0,0,0,16,8,17,0,2,309,1,0,0,0,0,0,0,11,23,0,0,0,40,0,1,0,0,0,0,0,0,0,0,12,15,100,42,22,22,0,1,4,0,0,0,0,0,0,43,2,0,0,0,0,3,4,14,0,0,2,0,6,15,0,0,0,4,0,2,0,0,72,0,0,3,0,0,0,0,0,0,8,1,0,0,0,0,0,0,0,0,1,0,3,0,0,1,14,0,0,0,0,1,2,3,0,6,3,0,0,0,4,1,0,0,0,4,0,13
449,12582,542,1,2,0,0,0,0,0,0,0,6,3,16,0,0,166,0,1,0,0,0,0,0,1,32,0,0,0,16,0,0,0,0,0,0,1,0,0,0,5,7,75,14,19,34,0,3,5,0,2,0,0,0,0,30,1,1,0,0,0,0,1,5,0,0,0,0,3,7,0,0,0,0,1,0,0,0,66,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,2,0,0,2,0,0,1,0,0,0,0,0,1,0,1
450,12643,504,0,0,0,0,0,0,0,0,0,41,0,11,0,0,228,0,0,0,0,0,0,0,0,10,0,0,0,6,0,2,0,0,0,0,0,0,1,0,3,1,47,17,5,20,0,0,8,0,2,0,0,0,0,28,0,0,0,0,0,2,3,0,0,0,0,0,1,8,0,1,0,1,0,0,0,0,38,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,4,0,0
451,12704,534,4,4,0,0,0,0,0,0,0,16,3,11,0,1,224,0,0,0,0,0,0,0,1,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,12,8,52,20,10,12,0,0,7,0,3,0,0,0,0,26,0,0,0,0,0,2,2,4,0,0,0,0,3,9,2,0,0,1,0,1,0,0,56,0,0,0,0,0,0,0,1,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,7,0,0,0,0,0,0,2,0,0,0,1,1,0,2
452,12765,595,1,2,0,0,0,0,0,0,0,8,7,17,0,2,201,0,0,1,0,0,0,0,3,31,0,0,0,29,0,0,0,0,0,1,2,0,0,0,3,12,77,19,13,24,0,2,2,0,1,0,0,0,0,31,1,0,0,0,0,0,2,0,0,0,2,0,5,17,2,0,0,0,0,0,0,0,53,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,1,0,2,0,0,0,0,0,0,4,0,0,0,0,2,0,0
453,12826,852,4,4,0,0,1,0,0,0,1,11,10,45,0,0,257,1,0,0,0,2,0,0,16,40,0,0,0,25,0,0,0,0,0,0,0,0,0,1,2,12,74,22,5,24,0,4,10,0,1,1,0,0,0,45,5,0,0,0,0,5,5,14,0,0,2,0,7,23,0,0,0,0,1,2,0,0,95,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,4,0,2,17,0,4,0,0,0,0,5,0,0,0,2,1,0,7
454,12886,561,1,2,0,0,0,0,0,0,0,9,15,19,0,0,164,0,0,0,0,0,0,0,2,34,0,0,0,13,0,0,1,0,0,1,1,1,0,0,9,11,69,16,2,22,0,0,1,0,1,0,0,0,0,38,4,0,0,0,0,1,5,1,0,0,1,0,5,12,1,0,0,0,0,2,1,0,74,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,3,0,0,1,0,0,0,3,0,0,0,1,2,0,2
455,12937,455,0,0,0,0,0,0,0,0,0,26,0,11,0,0,138,0,0,0,0,0,0,0,7,39,0,0,0,6,0,0,0,0,0,1,0,0,0,1,5,10,56,25,7,16,0,0,15,0,2,0,0,0,0,26,0,0,0,0,0,0,2,0,0,0,0,0,2,2,0,0,0,1,1,1,0,0,34,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
456,12977,645,6,8,0,0,0,0,0,0,2,12,15,19,0,0,179,0,0,0,0,0,0,0,6,50,0,0,0,14,0,3,0,0,0,1,0,1,0,0,4,9,82,32,4,26,0,1,1,0,2,0,0,0,0,33,2,0,0,0,0,2,2,4,0,0,0,1,3,14,1,0,0,1,0,3,0,0,56,0,0,1,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,13,0,1,0,0,0,0,4,0,0,0,0,2,0,2
457.5,13037,880,24,34,0,0,0,0,0,0,0,14,25,19,0,2,242,0,0,1,0,0,0,0,18,55,0,1,0,17,0,2,0,0,0,0,1,0,0,0,10,18,81,47,8,33,0,2,2,0,3,0,0,0,0,33,3,0,0,0,0,1,2,3,0,0,3,0,11,9,1,0,0,0,2,1,2,0,78,0,0,0,0,0,0,0,0,0,17,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,19,0,0,0,1,0,1,10,0,0,0,0,0,0,5,0,0,0,0,3,0,13
458,13057,892,16,23,0,0,0,0,0,0,0,25,25,25,0,0,254,0,0,0,0,1,0,0,21,54,0,0,0,7,0,1,0,0,0,0,2,0,0,0,6,16,91,55,11,28,2,2,2,0,3,0,0,0,0,32,1,1,0,0,0,1,2,4,0,0,1,0,9,16,0,0,0,2,2,1,0,0,76,0,0,1,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,1,19,0,2,2,0,0,0,4,0,0,0,0,0,0,13
458.5,13077,880,10,14,0,0,0,0,0,0,0,19,17,25,0,0,241,0,0,2,0,3,0,1,6,60,0,1,0,10,0,1,1,0,0,0,1,0,0,0,15,11,105,49,11,27,0,4,3,0,5,0,0,0,0,42,0,1,0,0,0,2,7,2,0,0,1,0,10,17,1,0,0,3,2,0,0,0,89,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,17,0,0,0,0,0,1,12,0,2,2,0,0,0,4,0,0,0,0,4,0,10
459,13097,583,10,12,1,0,0,0,0,0,1,14,10,8,0,1,118,1,0,0,0,0,0,2,10,45,0,0,0,8,1,0,1,0,0,0,4,0,0,0,5,4,79,33,3,16,0,12,6,0,5,0,0,0,0,27,0,1,0,0,0,0,5,0,0,0,0,0,7,18,1,0,0,3,0,1,0,0,63,1,0,1,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,1,0,1,12,0,2,1,0,0,0,5,0,0,0,0,2,0,6
459.5,13117,575,9,14,0,0,0,0,0,0,0,12,7,12,0,0,90,0,0,1,1,1,1,0,8,59,0,1,0,6,1,2,2,0,1,0,2,0,0,0,4,5,91,28,4,19,2,12,0,0,4,0,0,0,0,25,3,2,0,0,0,0,1,0,0,0,1,2,2,11,3,0,0,2,1,1,1,0,65,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,18,0,1,1,0,0,0,5,0,0,0,1,1,0,11
460,13137,602,14,18,0,0,0,0,0,0,0,1,8,8,0,1,84,0,0,0,0,0,0,2,7,78,0,0,0,8,0,2,6,0,0,0,8,1,0,0,8,3,119,44,5,20,0,13,1,0,8,0,0,0,0,15,0,0,1,0,0,1,3,2,0,1,2,1,3,14,1,0,0,1,0,0,0,0,45,0,0,0,0,0,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,1,14,0,0,0,0,0,0,9,0,0,1,1,1,0,5
