"sample.depths","sample.ages","upland.sum","Abies","Acer.negundo","Acer.rubrum","Acer.saccharinum","Acer.saccharum","Alnus.incana","Alnus.viridis","Amelanchier.type","Betula","Carya","Celtis","Cephalanthus","Cornus","Corylus","Cupressaceae","Ephedra.trifurca.type","Ephedra.viridis.type","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Fraxinus.undiff.","Juglans.cinerea","Juglans.nigra","Juglans.undiff.","Larix","Morus","Ostrya.Carpinus","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Platanus","Populus.balsamifera","Populus.tremuloides.type","Populus.undiff.","Quercus","Salix","Sarcobatus.vermiculatus","Shepherdia.argentea","Tilia","Ulmus","Vitis","Allium.type","Ambrosia.type","Amorpha.type","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Caryophyllaceae","Chenopodiaceae.Amaranthaceae.undiff.","Dalea.candida","Dalea.purpurea.type","Dalea.undiff.","Euphorbia","Galium","Humulus","Iva.annua.type","Iva.xanthifolia","Lamiaceae","Liliaceae","Myrica","Phlox","Plantago","Poaceae.undiff.","Polygonum.amphibium","Polygonum.lapathifolium.type","Ranunculaceae..tricolpate.","Ranunculaceae.undiff.","Rosaceae.undiff.","Rumex","Sanguisorba.canadensis","Thalictrum","Urtica","Xanthium","Cyperaceae","Zea.mays"
555,2306,398,0,0,0,0,1,5,2,0,27,0,0,0,0,2,0,0,0,0,11,0,0,0,0,0,0,23,1,0,0,35,0,0,0,2,91,2,1,0,3,15,0,0,22,4,0,37,1,0,0,13,0,0,0,0,0,0,1,1,0,0,0,0,0,68,0,0,0,0,0,0,0,0,0,0,30,0
645,2561,343,0,0,0,0,0,6,0,0,11,0,0,0,0,2,0,0,0,1,1,2,1,0,0,0,0,14,0,4,4,40,0,0,0,3,79,6,1,0,4,4,0,0,12,1,0,22,3,0,0,11,0,0,2,0,1,1,0,1,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,31,0
735,3034,380,2,1,0,0,0,12,4,0,39,0,0,0,0,5,0,0,0,6,2,0,0,0,0,0,0,5,1,13,11,10,0,0,3,0,78,8,3,0,18,5,0,0,17,2,0,20,8,0,0,5,0,0,0,0,0,2,0,0,0,0,0,0,0,73,0,0,1,0,0,0,0,0,0,0,26,0
780,3233,362,0,0,0,0,1,11,8,0,19,0,0,0,0,3,0,0,0,1,2,0,0,0,0,0,0,7,0,2,2,20,0,0,0,0,71,11,2,0,17,14,1,0,22,2,0,51,12,0,0,10,0,0,0,0,0,0,0,0,1,0,0,0,0,58,0,0,0,0,0,0,0,1,0,0,13,0
825,3378,342,0,0,0,0,1,3,1,0,9,0,0,0,0,6,0,0,1,1,3,0,0,0,0,0,0,3,0,11,8,14,0,0,0,0,98,7,0,0,8,11,0,1,28,1,0,36,9,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,62,0,0,0,0,0,2,0,0,0,0,13,0
870,3503,347,0,0,1,0,0,9,0,0,6,0,0,0,1,4,0,0,1,0,7,0,0,0,0,0,0,3,0,8,7,3,0,0,3,0,91,30,2,0,2,4,0,0,33,4,0,36,6,0,0,4,0,0,0,1,0,0,1,0,0,0,0,0,0,62,0,0,0,0,0,0,0,0,0,0,18,0
915,3642,398,0,0,0,1,0,14,6,0,32,0,0,0,0,6,0,0,0,0,6,0,0,0,0,0,0,13,0,16,8,8,0,0,4,0,72,11,2,0,2,8,0,0,28,1,0,41,9,0,0,6,0,0,0,0,0,0,1,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,1,32,0
960,3822,326,0,0,0,0,0,8,2,0,7,0,0,0,0,3,0,0,0,0,4,1,0,1,0,0,0,1,0,9,8,1,0,0,1,0,83,9,1,0,6,2,0,0,35,2,0,31,8,0,0,17,0,0,0,1,0,0,0,0,0,0,0,0,0,62,0,0,0,0,0,0,0,0,0,1,22,0
1005,4028,354,2,0,0,0,1,7,4,0,14,0,0,0,2,4,0,0,0,1,6,0,0,0,0,0,0,2,0,17,6,4,0,0,5,1,65,10,1,0,1,10,0,0,36,1,0,25,21,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,76,0,0,0,1,0,1,0,1,0,0,20,0
1050,4237,326,0,0,0,0,1,4,3,0,6,0,0,0,1,2,0,0,0,1,2,0,0,0,0,0,0,0,0,18,8,25,0,0,0,2,37,24,2,0,1,3,1,0,63,1,1,21,24,0,0,8,0,0,0,0,1,1,0,0,0,0,0,0,0,59,0,0,0,0,0,1,0,0,0,0,5,0
1065,4303,355,0,0,0,0,0,7,2,0,4,0,0,0,0,3,0,0,0,0,2,1,0,0,0,0,1,1,0,23,4,9,0,0,0,0,69,6,2,0,2,4,1,0,73,2,0,27,5,0,0,6,0,0,0,0,0,2,4,0,0,0,15,0,0,65,0,0,0,0,0,0,0,0,0,0,15,0
1080,4365,373,0,0,0,0,0,6,4,0,4,0,0,0,1,1,0,0,0,2,2,0,0,1,0,0,0,5,0,19,0,10,0,0,0,0,55,23,0,0,4,8,0,0,53,3,0,45,5,0,0,10,0,0,0,0,0,0,0,1,0,0,0,0,0,91,0,0,0,0,0,0,0,1,0,1,18,0
1095,4424,349,1,0,0,0,2,6,4,0,9,0,0,0,0,2,0,0,0,3,3,2,0,0,0,0,0,1,1,6,2,14,0,0,0,0,51,17,2,0,1,3,0,0,15,1,0,27,8,0,0,5,0,0,0,0,0,1,1,0,0,0,0,0,0,134,0,1,0,0,0,1,1,0,0,0,24,0
1110,4477,337,1,0,0,0,0,7,0,0,17,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,3,0,26,1,9,0,0,0,0,67,12,2,0,0,1,0,0,20,4,3,44,1,0,1,9,0,0,0,0,0,0,1,0,0,0,0,0,0,83,0,0,0,0,0,0,0,0,0,0,21,0
1140,4570,349,2,0,0,0,1,8,4,0,8,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,2,0,16,4,15,0,2,0,3,55,20,3,0,1,2,0,0,17,5,0,31,5,0,0,8,0,0,0,0,0,0,2,1,0,0,0,0,0,99,0,0,0,1,0,0,0,3,0,0,26,0
1155,4613,342,0,0,0,0,0,3,5,0,7,0,0,0,0,4,0,0,0,1,2,1,0,0,0,0,0,0,0,16,8,19,0,0,1,0,40,13,1,0,0,0,0,0,17,3,1,60,5,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,1,0,0,0,0,23,0
1170,4655,384,1,0,0,0,1,5,3,0,5,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,1,0,31,9,25,0,0,0,0,63,9,2,0,0,6,0,0,21,2,0,51,15,0,0,10,0,0,0,0,0,0,1,1,0,0,0,0,0,88,0,0,0,0,1,0,0,3,0,0,26,0
1185,4698,389,1,0,1,0,1,4,2,0,7,0,0,0,2,2,0,0,0,2,3,0,1,0,0,0,0,1,0,10,13,10,0,0,0,0,63,23,1,0,0,5,0,0,19,2,0,63,6,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,110,0,0,0,0,0,0,0,0,0,0,26,0
1200,4745,366,1,0,0,0,2,6,2,0,4,0,1,0,1,2,0,0,0,1,1,2,0,0,0,1,0,0,0,7,6,7,0,0,0,1,61,25,2,0,0,6,0,1,15,0,2,49,13,0,0,13,0,1,0,0,1,0,0,1,0,0,0,0,0,96,0,0,0,0,0,0,0,3,0,2,30,0
1215,4795,340,2,0,0,0,1,3,2,0,11,0,0,0,0,1,0,1,0,2,1,0,0,0,0,0,0,1,0,8,5,18,0,0,0,0,34,15,1,0,0,1,0,0,26,4,0,47,4,0,0,21,0,0,1,0,0,0,1,1,0,0,0,0,0,99,0,0,0,0,0,0,0,0,0,0,29,0
1230,4852,419,3,0,0,0,2,5,4,0,5,0,1,0,1,2,0,0,0,0,0,1,1,0,0,0,0,0,0,5,6,16,0,1,1,2,23,19,1,0,0,2,0,0,20,3,0,54,12,0,0,9,0,0,0,1,0,1,2,6,0,0,0,0,0,142,0,0,1,1,0,1,0,2,0,0,63,0
1235.5,4875,352,2,0,0,0,0,8,3,0,7,0,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,2,1,16,3,12,0,0,0,0,37,14,2,0,0,1,0,0,42,4,0,47,2,0,1,14,0,0,0,0,0,0,2,0,0,0,0,0,0,107,0,0,0,0,0,1,0,0,0,1,19,0
1245,4917,355,0,0,0,0,0,5,7,0,7,0,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,4,3,7,8,14,0,0,0,3,30,14,2,0,0,6,0,0,49,1,0,52,9,0,0,22,0,0,0,0,0,0,0,1,0,0,0,0,0,79,0,0,0,0,2,0,0,1,0,0,25,0
1260,4989,388,0,0,0,0,4,10,5,0,11,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,20,7,9,0,0,0,0,40,14,2,0,0,7,0,0,33,4,1,50,13,0,0,17,0,0,0,0,0,2,1,0,0,0,0,0,0,107,0,0,0,2,1,0,0,1,0,1,23,0
1275,5070,390,0,0,0,1,1,7,5,0,10,0,0,0,0,1,0,0,0,2,2,0,0,0,0,0,0,3,1,16,6,18,0,0,1,0,83,7,3,0,0,13,0,0,38,1,0,48,8,0,0,8,0,0,0,0,0,0,2,0,0,0,0,0,0,74,0,0,0,0,0,1,0,1,0,0,29,0
1290,5158,343,1,0,0,0,3,3,2,0,4,0,0,0,0,4,0,0,0,2,2,0,0,0,0,0,0,3,0,20,1,10,0,0,0,0,51,5,2,0,0,8,0,0,41,1,1,52,14,0,0,17,0,0,0,0,0,2,0,3,0,0,0,0,0,58,0,0,0,0,0,4,0,0,0,0,29,0
1305,5253,348,0,0,0,0,0,3,2,0,4,0,0,0,1,1,0,0,0,1,0,3,0,0,0,0,0,2,2,9,4,5,0,0,0,0,82,1,0,0,0,10,0,0,39,3,0,52,7,0,0,9,0,0,0,0,0,0,3,0,0,0,0,0,0,79,0,0,0,0,0,1,0,0,0,0,25,0
1322,5369,304,0,0,0,0,5,4,2,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,1,0,0,0,8,4,6,0,1,1,1,77,13,1,0,0,14,0,0,49,0,0,36,3,0,0,8,0,0,0,0,0,1,1,1,0,0,0,0,0,56,0,0,0,0,0,0,0,1,0,0,7,0
1335,5463,399,0,0,0,0,0,0,3,0,4,0,0,0,0,1,0,0,0,0,2,1,1,0,1,0,0,1,0,9,5,3,0,0,0,0,101,12,4,0,0,10,0,0,127,1,0,44,5,0,0,11,0,0,0,0,0,0,6,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,2,11,0
1350,5577,329,0,0,0,0,2,3,5,0,3,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,1,0,19,5,21,0,0,0,0,54,5,0,0,0,8,0,2,57,0,0,48,6,0,0,11,0,0,0,0,0,1,1,0,0,0,0,0,0,52,0,0,0,1,0,0,0,2,0,0,16,0
1365,5698,342,0,0,0,0,0,7,5,0,3,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,2,8,2,13,0,0,0,0,32,6,2,0,0,2,1,0,54,2,1,102,7,0,0,16,0,0,0,0,0,0,4,0,0,0,0,0,0,60,0,0,0,0,0,0,0,2,0,1,5,0
1380,5824,345,0,0,0,0,8,7,5,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,1,0,22,4,15,0,0,1,0,74,4,0,0,0,6,0,0,54,1,0,39,8,0,0,15,0,0,0,0,0,1,1,1,0,0,0,0,0,70,0,0,0,0,0,0,0,1,0,0,4,0
1385,5867,351,0,0,0,0,0,2,6,0,3,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,3,0,22,0,12,0,0,1,0,70,5,1,0,0,11,1,0,31,0,0,56,2,0,0,23,0,0,0,0,0,0,1,0,0,0,0,0,0,67,0,0,0,0,2,0,0,2,0,4,23,0
1390,5910,395,0,0,0,0,0,3,5,0,4,0,1,0,1,0,0,0,0,0,2,0,0,0,0,0,1,4,0,12,1,9,0,0,0,0,118,8,0,0,0,14,0,0,35,0,0,49,1,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,86,0,0,0,0,0,0,0,0,0,3,25,0
1395,5955,334,1,0,0,0,0,3,2,0,2,1,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,1,0,19,7,15,0,0,5,0,25,6,0,0,0,3,0,0,31,4,1,42,7,0,0,16,0,0,0,0,0,1,2,0,0,0,0,0,0,108,0,0,0,0,0,1,0,2,0,1,25,0
1402.5,6022,331,0,0,0,0,0,2,5,0,9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,24,1,16,0,0,0,0,27,7,0,1,0,5,0,0,19,2,0,77,0,1,0,16,0,0,0,0,0,0,4,1,0,0,0,0,0,91,0,0,0,0,0,0,0,0,0,2,18,0
1410,6090,351,0,1,0,0,3,5,6,0,12,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,3,0,13,5,26,0,0,1,0,32,14,3,0,0,19,0,1,30,0,0,68,4,0,0,9,0,0,0,0,0,0,1,1,0,0,0,0,0,74,0,0,0,0,0,0,0,3,0,0,13,0
1425,6231,348,0,0,0,0,0,5,3,0,10,0,0,1,0,2,0,0,0,2,5,0,0,0,0,0,0,2,0,9,6,1,0,0,0,0,89,6,2,0,0,9,2,0,36,6,3,65,4,0,0,11,0,0,0,0,0,2,2,0,0,0,0,0,0,51,0,0,0,0,0,2,0,2,0,0,10,0
1440,6375,368,0,0,0,0,4,5,3,1,3,0,0,0,0,0,0,0,0,0,2,0,1,0,0,3,1,2,0,10,2,17,0,0,2,0,67,22,7,0,0,14,0,4,19,0,0,59,6,0,0,18,0,0,1,1,0,0,2,0,0,0,0,0,0,70,0,0,0,2,0,0,0,2,1,0,17,0
1457,6544,353,0,0,0,0,2,1,2,0,4,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,1,2,0,9,10,15,0,0,1,0,60,3,1,0,0,20,0,0,63,0,0,57,2,0,0,33,0,0,0,0,0,0,1,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,11,0
1470,6675,357,0,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,1,1,1,0,7,2,10,0,0,5,0,69,6,0,2,1,3,0,1,48,2,3,60,10,1,0,13,1,0,1,1,1,0,0,0,0,1,0,1,0,74,0,0,0,0,0,0,1,0,0,1,9,0
1485,6831,360,0,0,0,0,1,1,0,0,4,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,1,0,12,2,12,0,0,1,0,116,2,0,0,0,6,0,0,109,1,0,36,9,0,0,21,0,0,0,0,0,0,6,0,0,0,0,0,0,12,0,0,1,0,1,0,0,1,0,0,0,0
1491,6894,365,0,0,2,0,1,1,1,0,5,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,1,0,14,8,6,0,0,0,0,133,2,0,0,0,11,0,0,22,4,0,27,2,0,0,25,0,0,0,0,0,0,3,1,0,0,0,0,0,66,0,0,0,0,0,0,0,0,0,2,24,0
1500,6990,476,0,0,0,0,0,1,2,0,6,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,2,0,3,0,18,0,0,0,0,60,3,1,2,0,16,1,0,128,2,1,114,6,0,0,30,0,0,0,0,0,0,5,0,0,0,0,1,0,60,0,0,0,0,0,0,0,0,0,8,2,0
1507,7067,357,0,0,0,0,1,2,0,0,3,1,0,0,0,2,0,0,0,1,2,0,0,0,0,0,0,5,1,20,5,3,0,0,0,2,117,1,2,0,1,12,0,0,36,6,1,54,0,0,0,11,0,0,0,0,0,0,2,1,3,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,11,0
1515,7155,362,0,0,0,0,2,1,3,0,5,1,2,0,0,1,0,0,0,1,0,2,0,0,0,0,0,2,1,7,5,5,0,0,0,0,104,7,1,0,0,14,0,0,84,1,1,46,5,0,0,27,0,0,0,0,0,0,9,0,0,0,0,0,0,18,0,0,0,0,0,1,0,0,0,0,6,0
1522,7235,445,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,1,3,2,0,0,0,0,0,2,1,8,2,2,0,0,0,0,129,2,1,0,0,16,0,0,149,3,0,55,5,0,0,17,0,0,0,0,0,0,24,0,0,0,0,0,0,10,0,0,0,2,0,0,0,0,0,3,5,0
1530,7327,455,0,0,0,0,0,1,3,0,8,0,0,1,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,2,2,16,0,0,0,0,63,25,1,0,0,7,0,0,110,0,0,84,8,0,0,32,0,0,0,0,0,0,12,1,0,0,0,0,0,61,0,0,0,0,0,0,0,1,0,2,11,0
1537,7409,376,0,0,0,0,0,4,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,3,16,5,11,0,0,0,0,54,13,1,0,0,12,1,0,75,6,0,65,5,0,0,28,0,0,0,0,1,0,4,2,0,0,0,0,0,43,0,0,0,0,0,1,0,1,0,2,18,0
1545,7506,350,1,0,0,0,2,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,1,8,0,0,2,0,21,10,0,0,0,3,0,0,127,0,1,85,9,0,0,34,0,0,0,0,1,0,3,0,0,0,0,0,0,22,0,0,0,0,0,2,0,0,0,1,4,0
1552.5,7598,326,0,0,0,0,0,5,0,0,21,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,4,10,2,13,0,0,0,0,18,8,1,0,0,6,0,0,26,14,0,110,2,0,0,28,0,0,1,0,0,0,1,0,0,0,0,0,0,37,0,0,0,1,0,0,0,0,0,0,13,0
1560,7693,354,0,0,0,0,1,10,2,0,8,2,0,0,0,3,0,0,0,1,1,0,0,0,0,1,0,6,0,7,2,33,0,0,0,1,28,8,2,2,0,7,0,0,38,4,0,65,12,0,0,30,0,0,0,1,0,1,2,2,3,0,0,0,0,58,0,0,0,0,1,2,0,2,0,0,8,0
1567,7783,417,0,0,0,0,0,4,3,0,10,0,0,0,0,3,0,0,0,2,2,3,0,0,0,0,0,7,2,23,3,13,0,0,1,0,34,13,0,0,0,12,0,0,26,8,1,110,4,0,0,23,0,0,0,0,0,0,2,2,0,0,0,0,0,74,0,0,0,0,0,0,0,1,0,1,30,0
1575,7888,364,4,0,0,0,0,4,4,0,17,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,1,3,4,11,8,15,0,1,3,0,18,7,2,0,0,13,0,0,49,0,0,63,6,0,0,41,0,0,0,0,0,0,3,0,0,0,0,0,0,55,0,0,0,0,0,1,0,0,0,0,26,0
1582,7982,352,0,0,0,0,0,3,4,0,13,0,0,0,4,3,0,0,0,0,0,2,0,0,0,0,0,2,0,15,0,10,0,0,0,0,36,10,0,0,0,7,1,0,36,5,0,77,4,0,0,26,0,0,0,0,0,0,3,0,0,0,0,0,0,72,0,0,0,0,0,0,0,0,0,0,19,0
1590,8091,367,0,0,0,0,2,6,5,0,5,0,0,0,0,6,0,0,0,0,0,0,0,0,1,0,0,5,0,15,1,17,0,0,0,1,43,16,0,1,0,9,0,0,38,0,0,40,6,0,0,24,0,0,0,0,0,1,1,5,0,0,0,0,0,98,0,0,0,0,3,0,0,4,0,2,12,0
1595,8160,370,0,0,0,0,0,6,1,0,9,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,2,2,21,0,5,0,0,0,0,45,13,0,0,0,8,0,0,34,10,0,76,3,1,0,30,0,0,0,0,0,0,1,0,0,0,0,0,0,73,0,0,0,0,0,0,0,3,0,1,23,0
1600,8229,376,0,0,0,0,0,10,12,0,17,0,0,0,2,2,0,0,0,3,0,0,0,0,0,0,0,2,0,16,1,16,0,0,0,0,33,9,4,0,1,10,0,0,47,2,0,88,1,0,0,30,0,0,0,0,0,2,1,1,0,0,0,0,0,57,0,0,0,0,0,0,1,0,0,1,7,0
1605,8299,353,0,0,0,0,0,10,1,0,14,1,0,0,0,1,0,0,0,2,0,7,1,0,0,0,0,2,3,24,3,14,0,0,0,0,30,10,3,0,0,10,0,0,37,3,1,65,1,0,0,39,0,0,0,0,0,0,2,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,15,0
1610,8370,379,0,0,0,0,0,4,3,0,11,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,30,1,21,0,0,0,0,29,11,4,0,0,11,0,0,70,3,0,77,4,0,0,29,0,0,0,0,0,0,4,0,0,0,0,0,0,42,0,0,0,0,0,0,0,2,0,1,18,0
1615,8441,309,0,0,0,0,0,4,4,0,9,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,6,0,16,0,10,0,0,0,1,29,16,1,0,0,10,0,0,38,4,0,81,3,0,0,20,0,0,0,0,0,0,1,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,1,17,0
1620,8512,493,0,0,0,0,0,2,6,0,8,0,1,0,0,4,0,0,0,3,1,0,1,0,0,0,0,3,0,10,0,36,0,0,0,17,15,18,3,1,0,18,0,0,54,0,0,100,15,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,2,113,0,0,0,1,0,0,0,7,1,0,25,0
1625,8583,353,0,0,0,0,1,4,1,0,7,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,2,5,28,34,0,0,0,0,1,26,6,5,0,0,18,0,0,38,7,1,57,3,1,0,22,0,0,0,0,0,0,2,1,0,0,0,0,0,53,0,0,2,1,0,1,0,0,0,1,22,0
1630,8655,318,0,0,0,0,0,7,2,0,11,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,2,1,10,0,10,0,0,1,0,18,12,1,0,0,7,0,0,50,2,1,77,5,0,0,27,0,0,1,0,0,0,0,1,0,0,0,0,0,50,0,0,0,0,0,1,0,0,0,2,13,0
1635,8728,340,0,0,0,0,1,5,1,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,11,1,9,0,0,0,1,23,11,2,0,0,5,0,0,48,5,1,98,1,0,0,34,0,0,0,0,0,0,1,0,0,0,0,0,0,36,0,0,0,0,0,0,0,1,0,4,19,0
1640,8800,366,0,0,0,0,0,3,3,0,9,0,0,0,1,4,0,0,0,0,0,1,0,0,0,0,0,2,1,24,1,17,0,0,3,0,28,13,1,0,0,7,0,0,71,0,0,84,5,0,0,29,0,0,0,0,0,0,1,2,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,3,4,0
1645.5,8880,343,0,0,0,0,1,4,6,0,8,1,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,5,2,22,2,17,0,0,6,1,54,7,1,1,0,16,1,0,27,4,0,53,2,0,0,30,0,0,0,0,0,0,1,1,0,0,0,0,0,32,0,0,0,0,0,2,0,1,0,4,27,0
1650,8945,428,0,0,0,0,0,3,7,0,4,0,0,0,0,10,0,0,0,0,0,0,0,1,0,0,0,5,0,1,0,24,0,0,0,0,17,3,0,1,0,24,0,0,116,0,1,91,8,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,52,1,0,0,0,0,0,0,3,0,0,10,0
