"sample.depths","sample.ages","upland.sum","Acer","Alnus","Anacardiaceae","Betula","Carya","Celtis","Cephalanthus","Cornus","Corylus","Ericaceae","Fagus","Fraxinus","Ilex","Itea","Juglans","Liquidambar","Morus","Myrica","Nyssa","Ostrya.Carpinus","Parthenocissus","Pinus..whole.grains.","Pinus..1.2.grains.","Planera.aquatica","Platanus","Quercus","Rubus","Salix","Sambucus","Taxodium","Tilia","Ulmus","Vitis","Zanthoxylum","Alternanthera","Ambrosia","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Chenopodiaceae.Amaranthaceae.undiff.","Cyperaceae","Galium","Iva","Lythrum","Plantago","Poaceae","Polygonum","Vigna"
235,2344,257,0,0,0,2,6,0,0,0,1,0,1,5,0,0,0,4,1,3,9,3,0,28,16,1,0,29,0,1,0,16,0,0,0,0,0,1,5,0,14,0,3,59,0,8,0,0,41,0,0
245,2446,240,0,0,0,1,3,0,1,0,0,0,0,4,0,0,0,2,0,2,6,1,0,30,23,0,0,28,0,4,0,26,0,1,1,0,0,0,10,0,11,0,2,28,0,10,0,0,46,0,0
255,2547,254,0,0,0,2,2,0,1,1,0,0,0,12,1,0,0,2,0,3,10,0,0,24,16,0,0,27,0,4,0,37,0,0,2,0,0,0,1,0,17,0,8,32,0,4,0,0,48,0,0
270,2700,250,1,0,0,4,1,0,0,0,0,0,0,8,0,0,0,2,0,5,6,4,0,23,12,2,0,40,0,1,0,35,0,4,2,0,0,4,2,1,11,0,7,20,0,14,0,0,41,0,0
280,2801,260,0,0,0,1,4,0,0,0,0,0,2,7,0,0,0,2,0,4,4,1,0,23,12,0,0,20,0,0,0,36,0,3,2,0,0,0,1,0,15,0,5,57,0,4,1,0,55,0,1
290,2903,309,1,1,0,4,8,0,0,1,0,0,2,9,2,0,0,7,1,4,9,2,1,21,20,1,0,35,0,1,1,41,0,1,3,0,0,3,7,0,15,0,3,40,0,6,1,0,57,0,1
301,3049,284,0,0,0,1,2,0,0,0,0,0,0,9,0,0,0,6,0,3,3,1,0,17,15,1,1,15,0,2,0,22,0,0,3,0,0,0,3,0,18,0,4,74,0,8,0,0,76,0,0
311,3257,253,0,0,0,0,0,0,0,0,1,0,0,7,0,0,0,3,0,3,9,3,0,36,39,1,0,26,0,1,0,17,0,2,1,0,1,15,1,0,14,0,4,33,1,0,0,0,35,0,0
320,3417,245,1,1,0,1,2,0,0,0,0,0,0,12,3,0,0,1,0,1,5,3,0,16,26,0,1,19,0,1,0,19,0,0,0,0,0,1,1,0,23,0,5,44,0,7,0,0,52,0,0
330,3594,252,0,0,0,0,3,0,0,0,0,0,0,8,3,0,0,1,0,4,5,0,0,29,30,0,0,24,0,1,0,33,0,0,0,0,0,5,4,1,8,0,1,43,0,5,0,0,44,0,0
338,3736,259,0,0,0,0,3,2,0,0,0,0,0,4,0,0,0,1,0,0,5,2,0,22,17,0,0,20,0,2,0,30,0,0,2,0,0,1,2,0,15,0,1,73,0,5,1,0,51,0,0
350,3950,284,0,0,0,4,2,0,0,0,0,0,0,11,0,0,0,0,0,6,4,4,0,18,14,0,0,29,0,4,0,54,0,0,3,0,0,6,4,0,15,0,9,34,0,17,0,0,45,1,0
360,4127,249,0,1,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,3,3,2,0,20,18,0,0,8,0,3,1,26,0,0,0,0,0,3,2,0,20,0,5,63,0,9,1,0,57,0,0
370,4305,299,0,0,0,3,4,0,0,0,0,0,0,4,0,0,0,3,0,3,13,2,0,27,24,0,0,33,0,1,0,31,0,0,2,0,0,1,1,0,11,0,5,61,0,10,0,0,59,0,1
380,4483,231,1,0,0,2,3,0,0,0,0,0,0,0,0,0,0,3,0,1,3,0,0,37,35,1,0,19,0,3,0,32,0,1,1,0,0,1,1,0,7,0,2,32,0,4,0,0,42,0,0
390,4660,245,0,0,0,0,2,0,0,0,0,0,2,6,2,1,0,4,0,0,9,0,0,29,32,1,0,36,0,1,0,20,1,1,1,0,1,7,1,0,12,0,1,35,0,0,0,0,39,1,0
400,4838,325,0,0,0,2,4,0,0,0,0,0,0,6,1,0,0,3,0,2,7,4,0,38,40,0,0,28,0,2,1,22,0,1,2,0,0,2,6,1,37,0,0,40,0,7,0,0,69,0,0
407,4962,299,0,0,0,2,3,0,0,0,0,0,0,12,0,1,0,4,0,3,7,1,1,39,44,0,0,33,0,0,0,31,0,0,3,0,0,4,0,0,13,0,3,41,0,7,0,0,46,1,0
413,5069,239,0,2,1,1,1,0,0,0,0,0,0,4,0,0,0,2,0,3,6,4,0,54,14,1,0,22,0,1,0,11,0,0,0,0,0,1,3,0,18,1,4,35,1,10,0,0,39,0,0
415,5104,270,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,12,10,0,0,9,0,2,0,19,0,3,0,0,0,1,8,0,14,0,5,111,0,3,0,0,65,0,0
418,5158,279,0,1,0,1,3,0,0,0,0,0,0,3,1,0,0,1,0,0,6,1,0,17,14,0,0,16,0,0,0,9,0,1,0,0,0,0,3,0,28,1,8,82,0,12,0,0,70,1,0
422,5229,249,0,3,0,2,0,0,0,0,0,0,0,4,0,1,0,1,0,4,2,1,0,9,8,0,1,19,0,2,0,25,0,0,0,0,0,2,11,0,17,0,5,75,0,15,0,0,42,0,0
437,NA,260,0,0,0,0,2,1,0,0,0,0,0,7,0,0,0,1,1,1,9,2,0,13,20,1,0,16,0,3,0,18,0,1,1,0,0,2,11,0,32,0,1,56,0,12,0,0,49,0,0
